"","Andrena hispania","Andrena sp.","Apis mellifera","Bombus terrestris","Bombylius sp.","Bombylius sp.1","Bombylius torquatus","Colletes nigricans","Dasypoda crassicornis","Heliotaurus ruficollis","Lasioglossum bimaculatus","Lasioglossum imminutus","Merodon sp.","Musca sp.","Panurgus sp.","Psilothrix viridicoerulea","Xylocopa violacea"
"Cistus ladanifer",1,0,31,3,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cistus salvifolius",1,1,4,0,0,0,0,1,0,2,1,0,1,1,2,1,0
"Erica scoparia",0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erica umbellata",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Rosmarinus officinalis",0,0,150,3,1,2,7,0,2,0,0,0,0,0,0,0,0
