"","Andrena ferrugineicrus","Andrena nigroaenaea","Apis mellifera","Bombus terrestris","Ceratina cucurbitina","Empis tessellata","Eucera alternans","Eucera sp.","Lestica clypeata","Platynochaetus setosus","Psilothrix viridicoerulea","Xylocopa cantabrita"
"Cistus albidus",0,3,16,15,0,4,0,0,0,0,1,0
"Cistus salvifolius",0,0,0,0,0,0,0,0,0,0,2,0
"Convolvulus arvensis",0,0,0,0,0,0,4,0,0,0,0,0
"Halimium commutatum",0,0,0,0,0,0,0,0,0,1,0,0
"Lavandula stoechas",0,0,6,2,0,0,0,0,1,0,0,0
"Rosmarinus officinalis",1,1,11,0,5,0,0,2,0,0,0,9
