"","Andrena flavipes","Andrena nigroaenaea","Apis mellifera","Bibio sp.","Calliphora sp.","Dasypoda albimana","Dasypoda cingulata","Dasypoda crassicornis","Dasypoda iberica","Empis sp.","Eristalinus taeniops","Eucera bolivari","Eucera collaris","Eucera sp.","Exosoma lusitanicum","Lasioglossum malachurum","Machimus sp.","Merodon sp.","Nomada sp.","Pangonius micans","Panurgus banksianus","Panurgus calcaratus","Panurgus dargius","Pieris rapae","Sphaerophoria scripta"
"Andryala integrifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,2,0,0,0
"Armeria velutina",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cistus crispus",3,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Cistus salvifolius",0,0,62,6,3,0,0,0,2,1,3,7,1,3,0,1,0,2,0,0,0,0,5,0,4
"Convolvulus arvensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Genista hirsuta",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halimium halimifolium",0,0,7,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula stoechas",0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"Rosmarinus officinalis",0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
