"","Halictus sp.1","Musca domestica","Sepsis thoracica","Apis mellifera","Bombus ruderatus","Colias crocea","Lucilia sericata","Calliphora vomitoria","Agrotis ipsilon","Anthomyia pluvialis","Eristalis tenax","Lasius niger"
"Azorina vidalii",98,23,51,89,9,9,0,13,0,0,0,37
"Crithmum maritimum",0,83,87,0,0,0,93,0,0,0,12,0
"Daucus carota",11,102,0,0,0,0,8,0,0,0,0,0
"Chamomilla suaveolens",21,42,0,0,0,0,0,0,0,1,0,0
"Lotus corniculatus",0,0,0,9,47,21,0,0,0,0,0,0
"Freesia refracta",0,0,0,0,11,12,0,0,0,0,0,0
"Reseada luteola",11,0,0,9,0,0,0,0,0,0,0,0
"Silene vulgaris",7,0,30,0,0,0,0,0,0,0,0,0
"Solidago sempervirens",141,0,0,0,0,0,0,0,22,0,0,0
"Beta maritima",0,0,8,0,0,0,0,0,0,0,0,0
