,Adela reaumurella,Ancistrocerus oviventris,Andrena carantonica,Andrena fulva,Andrena fuscipes,Andrena lapponica,Andrena nigroaenaea,Apis mellifera,Aplotarsus incanus,Autographa bractea,Bellardia viarum,Bombus  sylvestris,Bombus bohemicus,Bombus jonellus,Bombus lucorum,Bombus pascuorum,Bombus pratorum,Bombus terrestris,Cantharis obscura,Cheilosia gigantea,Chrysogaster virescens,Chrysotoxum bicinctum,Coenosia means,Colletes succinctus,Conops quadrifasciatus,Cryptocephalus aureolus,Dasysyrphus hilaris,Dasytes plumbeus,Dilophus febrilis,Dolichovespula saxonica,Ematurga atomaria,Episyrphus balteatus,Eriothrix rufomaculatus,Eristalis abusiva,Eristalis anthophorina,Eristalis arbustorum,Eristalis intricaria,Eristalis lineata,Eristalis pertinax,Eristalis tenax,Eupeodes corollae,Formica fusca,Helophilus pendulus,Hydrotaea irritans,Ichneumon sp.,Itame brunneata,Lasioglossum leucozonium,Lasioglossum sp.,Lasius niger,Lucilia caesar,Megasyrphus erraticus,Melanostoma mellinum,Melanostoma scalare,Meliscaeva cinctella,Mellinus arvensis,Micropterix aruncella,Mordella holomelaena,Myopa buccata,Myrmica ruginodis,Nomada sp.,Oedemera lurida,Onesia floralis,Panurgus banksianus,Parasyrphus lineolus,Phaonia angelicae,Phyllopertha horticola,Pipizella viduata,Platycheirus albimanus,Pollenia amentaria,Rhagonycha fulva,Rhagonycha lignosa,Rhagonycha nigriventris,Rhingia campestris,Sarcophaga aratrix,Sarcophaga sp.,Scaeva pyrastri,Sepsis cynipsea,Sericomyia lappona,Sericomyia silentis,Sicus ferrugineus,Sphaerophoria fatarum,Sphaerophoria scripta,Sphaerophoria sp.,Stenurella melanura,Syritta pipiens,Syrphus torvus,Syrphus vitripennis,Tachina grossa,Vespula rufa,Volucella bombylans
Calluna vulgaris,0,0,0,0,11,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,19,5,0,0,3,0,0,0,0,0,0,22,8,0,0
Erica tetralix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galium saxatile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypochaeris radicata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melampyrum pratense,0,0,4,5,0,5,4,0,0,0,0,0,8,0,55,18,19,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
Salix repens,4,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,26,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,3,0,0,0,0,0,0,3,0,2,0,4,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0
Solidago virgaurea,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,2,0,0,6,0,0,0,0,0,0,6,6,0,2,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Trientalis europaea,0,2,0,0,0,0,0,621,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3
Vaccinium myrtillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccinium uliginosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccinium vitis-idaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,2,0,8,9,60,21,2,77,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,27,2,0,0,0,0
