,Andrena arabis,Andrena carlini,Andrena cressonii,Andrena distans,Andrena erigeniae,Andrena erythronii,Andrena forbesii,Andrena geranii,Andrena illini,Andrena imitatrix,Andrena mandibularis,Andrena miserabilis,Andrena nasonii,Andrena personata,Andrena polemonii,Andrena pruni,Andrena rugosa,Andrena violae,Anthophora ursina,Apis mellifera,Augochlora pura,Augochlorella aurata,Augochloropsis fulgida,Bombus bimaculatus,Bombus griseocollis,Bombus impatiens,Bombus pensylvanicus,Bombus vagans,Ceratina calcarata,Chelostoma philadelphi,Colletes inaequalis,Eucera dubitata,Halictus ligatus,Halictus rubicundus,Hylaeus modestus,Lasioglossum cinctipes,Lasioglossum coeruleum,Lasioglossum coriaceum,Lasioglossum cressonii,Lasioglossum foxii,Lasioglossum imitatum,Lasioglossum macoupinense,Lasioglossum obscurum,Lasioglossum tegulare,Lasioglossum versatum,Lasioglossum zephyrum,Nomada cressonii,Nomada denticulata,Nomada hydrophylli,Nomada luteoloides,Nomada parva,Nomada sayi,Osmia bucephala,Osmia pumila
Hydrophyllum virginianum,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,14,0,0,0,0,5,0,0,1,0,0,0,0,0,4,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1
Isopyrum biternatum,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0
Smilacina racemosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mertensia virginica,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,1,0,8,0,4,0,0,0,0,1,0,0,0,0,0,2,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,6,0
Monarda bradburiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,1,10,0,0,0,1,11,0,0,0,0,0,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Oxalis violacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlox divaricata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polemonium reptans,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ranunculus hispidus,0,0,10,0,1,0,0,1,0,0,0,0,6,19,0,0,0,0,0,1,2,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,0,0,1,2,0,0,0,0,1,0,0,5,0,0,0
Sanicula odorata,0,1,21,0,0,0,1,2,0,0,0,0,5,125,0,1,0,0,0,2,21,16,22,1,0,0,0,0,7,1,0,1,0,0,1,0,1,2,58,0,1,109,56,0,0,0,0,0,0,0,21,3,0,1
Tradescantia brevicaulis,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,3,6,3,4,0,2,0,1,9,0,0,5,1,0,0,0,0,4,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
Uvularia grandiflora,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viola pubescens,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Viola sororia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
