,Cantharidae sp.,Cantharidae sp.1,Coccinellidae sp.,Scarabaeidae sp.,Agromyzidae sp.,Anthomyiidae sp.,Anthomyiidae sp.1,Betasyrphus serarius,Bibionidae sp.,Bibionidae sp.1,Bibionidae sp.2,Bombyliidae sp.1,Bombyliidae sp.2,Lucilia sp.,Lucilia  sericata,Calliphoridae sp.,Cheilosia sp.,Conopidae sp.,Conopidae sp.1,Culicidae sp.,Empididae sp.,Episyrphus balteatus,Eristalis sp.,Eristalis sp.1,Eristalis sp.2,Eristalis tenax,Eupeodes sp.,Helophilus sp.,Lauxaniidae sp.,Leucozona sp.,Megasyrphus sp.,Melanostoma sp.,Melanostoma orientale,Meliscaev sp.,Metasyrphus nitens,Hydrotaea sp.,Musca sp.,Helina sp.,Muscidae sp.,Odontomyia sp.,Paragus sp.,Paragus sp.1,Platycheirus sp.,Sarcophagidae sp.,Scatopsidae sp.,Sepsidae sp.,Sericomyia sp.,Sericomyia sp.1,Sphaerophoria sp.,Sphaerophoria sp.1,Sphaerophoria sp.2,Syrphid sp.,Syrphid sp.1,Syrphid sp.2,Syrphid sp.3,Syrphid sp.4,Syrphid sp.5,Syrphus ribesii,Syrphus sp.,Syrphus sp.1,Syrphus sp.2,Peleteria acutiforceps,Exorista sp.,Mydeae sp.,Tachinidae sp.,Calliphoridae sp.1,Tachinidae sp.1,Exorista sp.1,Tachinidae sp.2,Volucella sp.,Volucella sp.1,Vesp.idae sp.,Vesp.idae sp.1,Anthophora mangkamensis,Anthophora sp.,Apis cerana,Bombus festivus,Bombus lepidus,Bombus lucorum,Bombus richardsi,Bombus sp.,Bombus sp.1,Bombus trifasciatus,Camponotus compressus,Formica sp.,Hylaeus sp.,Formicidae sp.,Halictus sp.,Halictus sp.1,Halictus sp.2,Halictus sp.3,Halictus yunnanicus,Ceratina sp.,Ceratina sp.1,Hylaeus sp.1,Ichneumon sp.,Ichneumon sp.1,Ichneumon sp.2,Lasioglossum kryopetrosum,Lasioglossum sp.,Lasioglossum sp.1,Lasioglossum virideglaucum,Scolidae sp.,Tenthredinidae sp.,Tenthredinidae sp.1,Tenthredinidae sp.2,Tenthredinidae sp.3,Tenthredinidae sp.4,Tenthredinidae sp.5,Aporia sp.,Colias fieldi,Crambidae sp.,Crambidae sp.1,Danaidae sp.,Geometridae sp.,Hesp.eriidae sp.,Lycaenidae sp.,Lycaenidae sp.1,Lycaenidae sp.2,Lycaenidae Celastrina,Pieris sp.,Pyralidae sp.,Pyralidae sp.1,Vanessa sp.,Vanessa cardui,Chrysopidae sp.,Forficulidae sp.,Dermaptera sp.
Pleurospermum davidii,5,0,1,1,0,0,1,1,0,0,6,0,2,4,9,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,10,3,15,16,4,1,0,0,7,0,0,0,0,1,0,1,1,2,1,1,0,1,2,0,1,0,0,2,1,0,2,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
Aster oreophilus,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,9,0,1,2,0,5,0,0,7,0,0,0,0,9,8,3,1,0,1,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,3,0,0,0
Anaphalis nepalensis,0,10,0,0,0,0,18,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,22,4,0,6,0,0,15,0,0,2,22,0,0,10,11,0,0,0,0,0,0,10,2,0,0,0,1,0,8,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cimicifuga yunnanensis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2,0,1,6,0,0,7,4,1,0,5,0,0,13,16,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daucus carota,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,5,2,7,8,0,0,0,0,2,0,6,0,0,3,7,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Potentilla lancinata,0,0,0,0,0,0,0,0,0,0,0,19,0,0,9,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,0,0,8,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,36,0,0,0,0,0,0,0,0,7,0,10,7,0,0,0,0,4,0,17,0,0,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Allium wallichii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,8,0,0,0,2,12,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Polygonum runcinatum,0,1,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,7,5,0,0,0,2,0,0,0,0,0,2,0,0,1,0,19,0,0,0,0,10,0,0,0,0,0,5,4,3,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,18,2,0,0,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polygonum macrophyllum,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,6,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Arenaria yunnanensis,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,14,7,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
