"","Andrena rhyssonota","Anthophora aestivalis","Anthophora hispanica","Apis mellifera","Bombus terrestris","Dasypoda cingulata","Dasypoda crassicornis","Eucera chrysopyga","Eucera codinai","Eucera sp.","Heriades crenulatus","Lasioglossum albocinctum","Lasioglossum malachurum","Lasioglossum sp.","Lestica clypeata","Macroglossum stellatarum","Merodon sp.","Musca sp.1","Nemotelus sp.1","Nomada agrestis","Nomada sp.","Platynochaetus setosus","Trypoxylon sp.1","Xylocopa cantabrita"
"Astragalus lusitanicus",0,3,9,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"Cistus crispus",0,0,0,5,0,1,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Cistus salvifolius",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Lavandula pedunculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Lavandula stoechas",1,0,0,78,3,0,1,2,0,6,0,0,0,1,0,0,3,0,0,0,1,4,0,17
"Rosmarinus officinalis",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Thapsia villosa",0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,2,0
