,Andrena sp.,Anthidium sticticum,Anthophora sp.,Apis melifera,Bombus terrestris,Braconidae sp.,Camponotus aetiops,Ceratina curcubitina,Coleoptera sp.2,Coleoptera sp.4,Dasytidae sp.,Halictus fulvipes,Halictus gemmeus,Halictus pyrenaeus,Hylaeus nigritus,Hylaeus variegatus,Lasioglossum bimaculatum,Lasioglossum pauxillum,Mordella bipunctata,Mordellistena pumila,Nomada merceti,Oedemera barbara,Oedemera flavipes,Oedemera lurida,Oxythyrea funesta,Panurgus calcaratus,Scolia hirta,Sphaerophoeria sp.,Sphecodes sp.,Xylocopa violacea
Allium ampeloprasum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convolvulus althaeoides,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0
Daucus carota,2,0,0,1,0,0,0,0,1,0,0,0,5,0,0,3,0,2,3,17,0,0,1,2,0,0,0,0,0,0
Equium sabulicola,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eryngium campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
Opuntia stricta,0,3,0,19,6,0,7,0,0,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,3
Sedum sediforme,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonchus tenerrinus,0,0,0,3,1,0,0,0,0,0,0,0,1,3,1,0,1,6,0,0,1,2,0,1,0,15,1,2,1,0
Urospermum picrioides,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
