"","Acromyrmex lobicornis","Alloscirtetica brethesi","Ammophila sp.","Anthidium friesei","Apis mellifera","Augochloropsis sp.","Babia elongata","Bombus opifex","Camponotus mus","Centris brethesi","Coelioxys jorgenseni","Colletes araucariae","Compsomyiops fulvicrura","Copestilum aricia","Copestilum sp.2","Copestilum sp.3","Cosmosatyrus chilensis","Diabrotica sp.","Hirmoneura sp.","Megachile leucographa","Platycheirus sp.","Sphecidae sp.1","Strymon eurytulus","Syrphus sp.1","Tachipompillus sp.","Tatochila autodice","Thynnidae sp.","Villa sp.","Xylocopa atamisquensis"
"Aloyssia gratissima",0,0,0,0,345,3,0,0,0,0,0,0,0,0,14,1,0,0,0,0,1,0,2,6,0,0,0,0,1
"Larrea divaricata",0,0,0,3,173,2,0,20,0,10,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,1,0,0,35
"Larrea nitida",0,2,0,0,66,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Lycium chilense",0,0,0,0,14,3,0,0,0,0,0,0,0,23,3,0,0,0,0,5,0,0,0,0,0,0,0,0,33
"Menodora decemfida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
"Opuntia sulphurea",0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prosopis flexuosa",0,0,1,0,42,4,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,3,0,0,4,0,5,1,0
"Schinus fasciculata",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senna aphylla",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Spartium junceum",2,0,0,0,0,0,0,8,8,0,0,0,1,1,0,0,4,1,6,0,0,0,0,6,0,0,0,0,4
"Zuccagnia punctata",0,0,0,0,10,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
