"","Ammophila heydeni","Ancistrocerus biphaleratus","Andrena hispania","Andrena nigroaenaea","Andrena ovatula","Andrena rhyssonota","Andrena vulpecula","Anthaxia sp.1","Anthidium septemspinosum","Apis mellifera","Bombus terrestris","Bombylius sp.","Ceratina cucurbitina","Colletes acutus","Dasypoda hirtipes","Dasypogon sp.1","Empis sp.","Empis sp.1","Eristalis sp.","Eucera collaris","Eucera elongatula","Eucera sp.","Graphosoma lineatum","Halictus scabiosae","Hoplitis papaveris","Lasioglossum sp.","Megachile sp.","Musca sp.","Platynochaetus setosus","Trypoxylon sp.1"
"Andryala integrifolia",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cistus crispus",0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Cistus ladanifer",0,0,0,0,0,0,0,1,0,13,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Cistus salvifolius",0,0,0,0,0,7,0,0,0,71,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,2,0
"Halimium commutatum",0,0,0,4,0,0,0,0,0,42,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0
"Lavandula pedunculata",0,0,0,0,0,0,0,0,0,26,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"Lavandula stoechas",0,0,0,0,0,0,0,0,0,68,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thapsia villosa",0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"Thymus mastichina",6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2
