"","Adelidae sp.","Andrena agilissima","Andrena cinerea","Andrena colletiformis","Andrena fabrella","Andrena nigroaenea","Andrena senecionis","Andrena sp.","Andrena taraxaci","Anthidium septemsp.inosum","Anthidium sticticum","Anthophora aestivates","Anthophora retusa","Apis melifera","Bibionidae sp.","Bibionidae sp.2","Bibionidae sp.3","Bombus terrestris","Callophrys rubi","Chalicodoma pyrenaica","Chryptocephalus sp.","Coleoptera sp.2","Coleoptera sp.4","Coleoptera sp.7","Colletes sp.","Criptocephalus","Dasytidae sp.","Eucera sp.","Halictus gemmeus","Halictus rubicundus","Helorus coruscus","Hylaeus gredieri","Ichneumonidae sp.","Lasioglossum bimaculatum","Lasioglossum pauxillum","Lasioglossum sp.","Milichidae sp.","Mordella bipunctata","Mordellistena pumila","Nomada fallax","Nomada merceti","Nomada sp.","Oedemera flavipes","Oedemera lurida","Oedemera nobilis","Osmia aurulenta","Oxythyrea funesta","Panurgus calcaratus","Plagiolepsis pigmaea","Polistes gallicum","Psylotrix viridicoerulea","Sphecodes sp."
"Aetheorrina bulbosa",0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,3,3,0,0,0,0,0,0,11,0
"Alyssum maritimum",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Carpobrotus affinis",0,0,0,0,0,3,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,2,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,8,1,3,9,0,2,0,13,0
"Convolvulus althaeoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0
"Euphorbea segatalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"Lathirus clymenum",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula stoechas",1,0,1,0,0,0,0,1,0,1,27,4,6,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1
"Sonchus tenerrinus",0,0,1,2,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,4,7,0,0,0,1,0,0,7,0
"Thymelaea hirusta",0,1,0,0,0,0,0,0,0,0,1,0,0,6,1,2,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
"Urospermum picrioides",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,4,0,0,1,0,0,0,1,0
