,Adela cuprella,Adscita statices,Alliopsis billbergi,Amauronematus Konow,Andrena clarkella,Andrena fulva,Andrena fuscipes,Andrena haemorrhoa,Andrena lapponica,Andrena praecox,Andrena tarsata,Aphantopus hyperanthus,Apis mellifera,Bellardia viarum,Bibio lanigerus,Bombus bohemicus,Bombus hypnorum,Bombus jonellus,Bombus lucorum,Bombus pascuorum,Bombus pratorum,Bombus sylvestris,Bruchidius ater,Calameuta pallipes,Callophrys rubi,Cheilosia albipila,Cheilosia bergenstammi,Cheilosia pagana,Cheilosia psilophthalma,Chrysotoxum bicinctum,Coenonympha pamphilus,Coenosia means,Colletes cunicularius,Coranarta cordigera,Delia florilega,Dolichovespula saxonica,Ectobius sylvestris,Empis aestiva,Empis chioptera,Empis sp.,Empis tessellata,Episyrphus balteatus,Eriothrix rufomaculatus,Eristalinus sepulchralis,Eristalis lineata,Eristalis pertinax,Eristalis tenax,Eupeodes corollae,Formica fusca,Formica rufa,Formica sanguinea,Gonia picea,Helina reversio,Helophilus pendulus,Hercostomus sp.,Heterostylodes nominabilis,Hylaeus confusus,Lasioglossum albipes,Lasioglossum calceatum,Lasioglossum fratellum,Lasioglossum leucopus,Lasioglossum leucozonium,Lasioglossum punctatissimum,Lasioglossum rufitarse,Lasioglossum sp.,Lasioglossum villosulum,Lasius niger,Leucozona lucorum,Lucilia bufonivora,Lycaena virgaureae,Macropis europaea,Maniola jurtina,Melanostoma mellinum,Meligethes aeneus,Melitta haemorrhoidalis,Mellinus arvensis,Miarus campanulae,Micropterix aruncella,Mimesa equestris,Nomada leucophthalma,Oedemera lurida,Panurgus banksianus,Parasyrphus lineolus,Phaonia angelicae,Phaonia incana,Phyllopertha horticola,Pieris napi,Pipiza lugubris,Pipizella viduata,Platycheirus albimanus,Platycheirus peltatus,Pollenia rudis,Prosena siberita,Prosternon tessellatum,Pyrgus malvae,Rhagonycha fulva,Rhagonycha nigriventris,Rhamphomyia nigripennis,Rhamphomyia sp.,Rhingia campestris,Rhinophora lepida,Sarcophaga carnaria,Sarcophaga sp.,Scaeva selenitica,Scathophaga stercoraria,Sciara hemerobioides,Sciara sp.,Sepsis cynipsea,Sericomyia silentis,Sicus ferrugineus,Sphaerophoria fatarum,Sphaerophoria scripta,Sphaerophoria sp.,Stenurella melanura,Syritta pipiens,Syrphus torvus,Thymelicus lineola,Vespula rufa,Vespula vulgaris,Volucella bombylans
Hieracium umbellatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypochaeris radicata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla erecta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salix repens,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solidago virgaurea,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Succisa pratensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trientalis europaea,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,41,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,2,6,0,2,2,0,0,0,0,3,2,0,0,0,0,0,6,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0
Vaccinium myrtillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccinium uliginosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccinium vitis-idaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
