motif_id,nodes,plant,pollinator
1,2,p1,p2
2,3,p3a,p4
2,3,p3b,p4
3,3,p5,p6a
3,3,p5,p6b
4,4,p7,p8a
4,4,p7,p8b
4,4,p7,p8c
5,4,p9,p12
5,4,p10,p12
5,4,p10,p11
6,4,p13a,p14a
6,4,p13a,p14b
6,4,p13b,p14a
6,4,p13b,p14b
7,4,p15a,p16
7,4,p15b,p16
7,4,p15c,p16
8,5,p17,p18a
8,5,p17,p18b
8,5,p17,p18c
8,5,p17,p18d
9,5,p20,p21a
9,5,p20,p21b
9,5,p20,p22
9,5,p19,p22
10,5,p23a,p24a
10,5,p23a,p25
10,5,p23b,p25
10,5,p23b,p24b
11,5,p27,p28
11,5,p27,p29a
11,5,p27,p29b
11,5,p26,p29a
11,5,p26,p29b
12,5,p30a,p31a
12,5,p30a,p31b
12,5,p30a,p31c
12,5,p30b,p31a
12,5,p30b,p31b
12,5,p30b,p31c
13,5,p33,p34
13,5,p33,p35
13,5,p32a,p35
13,5,p32b,p35
14,5,p36a,p38a
14,5,p37,p38a
14,5,p37,p38b
14,5,p36b,p38b
15,5,p40a,p41
15,5,p40a,p42
15,5,p40b,p41
15,5,p40b,p42
15,5,p39,p42
16,5,p43a,p44a
16,5,p43a,p44b
16,5,p43b,p44a
16,5,p43b,p44b
16,5,p43c,p44a
16,5,p43c,p44b
17,5,p45a,p46
17,5,p45b,p46
17,5,p45c,p46
17,5,p45d,p46
