"Plant_species","Pollinator_species","Interaction","Id","Unique_id","Locality","Latitude","Longitude","Order_all","Family_all","Genus_all","Species_all","Subspecies","Sex_or_flower_type","Breeding_system","Breeding_system_info","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","Compatibility","Self_compatible_author","Self_compatible_reference","Self_compatible_doi","Compatibility_genus","Info_level","Asexual_reproduction","Asexual_reproduction_type","Agamospermy/apomixis (yes/no/some_populations)","Flower_colour","Flower_morphology","Flower_symmetry","Corolla_diameter_mean","Corolla_diameter_min","Corolla_diameter_max","Corolla_length_mean","Corolla_length_min","Corolla_length_max","Tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_N","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","References","Reference_info","DOI","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n","Species"
"Aetheorrina bulbosa","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","NA","bisexual","hermaphrodite","NA","medium","quantitative","31.66","NA","60","self_compatible","manjula & nair","journal: the international journal of plant reproductive biology","10.14787/ijprb.2018 10.1.52-58","NA","flower","yes","bulb","no","white","dish","actinomorphic","20","NA","NA","5","NA","NA","NA","6","5","7","NA","NA","15","6","24","NA","NA","herb","perennial","0.15","0.45","0.45","goldblatt & snow 1991; manjula & nair 2018; prameela,s wamy  & venkaiah 2018","journal: annals of the issouri botanical garden; journal: the international journal of plant reproductive biology; journal: tropical plant research"," https://doi.org/10.2307/2399735 ","https://doi.org/10.22271/tpr.2018.v5.i3.038","NA","NA","NA","NA","NA","NA","30","60","NA","NA","NA","NA","30","60","NA","NA","Eleutherine bulbosa"
"Alyssum maritimum","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Brassicales","Brassicaceae","Lobularia","Lobularia maritima","NA","bisexual","hermaphrodite","NA","medium","quantitative","35","NA","35","self_compatible","gomez 2000","journal: oecologia","https://doi.org/10.1007/pl00008840","NA","flower","NA","NA","NA","white","bowl","actinomorphic","4","3","5","NA","NA","NA","NA","0.45","0.4","0.5","NA","NA","2","NA","NA","NA","NA","herb","perennial","0.1","0.4","0.25","Gomez 2000; Gomez 2000; NA","Journal of Evolutionary Biology; journal: Oecologia; online: http://ucjeps.berkeley.edu/","https://doi.org/10.1046/j.1420-9101.2000.00196.x","https://doi.org/10.1007/pl00008840","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Lobularia maritima"
"Cistus albidus","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Malvales","Cistaceae","Cistus","Cistus albidus","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","217","self_incompatible","blasco & mateu","journal: acta botanica gallica","10.1080/12538078.1995.10515713","NA","flower","no","NA","no","pink","dish","actinomorphic","50","40","60","7","NA","NA","NA","NA","NA","NA","NA","NA","94.78","NA","NA","14.3","9","shrub","perennial","NA","1","0.5","blasco & mateu 2013; onate & munne-bosch 2010; NA; NA; bosch 1992","journal: acta botanica gallica; journal: plant biology; online: https://www.florealpes.com/ *flower size*; online: http://www.floraiberica.es/ *height*; journal: botanical journal of the linnean society","10.1080/12538078.1995.10515713","https://doi.org/10.1111/j.1438-8677.2009.00246.x","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cistus albidus"
"Cistus albidus","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Malvales","Cistaceae","Cistus","Cistus albidus","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","217","self_incompatible","blasco & mateu","journal: acta botanica gallica","10.1080/12538078.1995.10515713","NA","flower","no","NA","no","pink","dish","actinomorphic","50","40","60","7","NA","NA","NA","NA","NA","NA","NA","NA","94.78","NA","NA","14.3","9","shrub","perennial","NA","1.5","0.75","blasco & mateu 2013; onate & munne-bosch 2010; NA; NA; bosch 1992","journal: acta botanica gallica; journal: plant biology; online: https://www.florealpes.com/ *flower size*; online: http://www.floraiberica.es/ *height*; journal: botanical journal of the linnean society","10.1080/12538078.1995.10515713","https://doi.org/10.1111/j.1438-8677.2009.00246.x","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cistus albidus"
"Cistus monspeliensis","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Malvales","Cistaceae","Cistus","Cistus monspeliensis","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","48","self_incompatible","bosch 1992","journal: botanical journal of the linnean society","10.1111/j.1095-8339.1992.tb00257.x","NA","flower","no","NA","no","white","dish","actinomorphic","15","10","20","NA","NA","NA","NA","0.25","0","0.5","NA","NA","20.67","NA","NA","1.83","9","shrub","perennial","NA","1","0.5","NA; bosch 1992","online: http://www.efloras.org/; journal: botanical journal of the linnean society","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cistus monspeliensis"
"Cistus monspeliensis","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Malvales","Cistaceae","Cistus","Cistus monspeliensis","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","48","self_incompatible","bosch 1992","journal: botanical journal of the linnean society","10.1111/j.1095-8339.1992.tb00257.x","NA","flower","no","NA","no","white","dish","actinomorphic","15","10","20","NA","NA","NA","NA","0.25","0","0.5","NA","NA","20.67","NA","NA","1.83","9","shrub","perennial","NA","1","0.5","NA; bosch 1992; NA","online: http://www.efloras.org/; journal: botanical journal of the linnean society; ONLINE: https://ucjeps.berkeley.edu/","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cistus monspeliensis"
"Cistus salvifolius","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Malvales","Cistaceae","Cistus","Cistus salviifolius","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20","15","25","5","NA","NA","NA","NA","NA","NA","NA","NA","76.89","NA","NA","9.42","9","shrub","perennial","0.4","1.5","0.95","NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cistus salviifolius"
"Cistus salvifolius","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Malvales","Cistaceae","Cistus","Cistus salviifolius","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20","15","25","5","NA","NA","NA","NA","NA","NA","NA","NA","76.89","NA","NA","9.42","9","shrub","perennial","0.4","1.5","0.95","NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cistus salviifolius"
"Convolvulus althaeoides","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Solanales","Convolvulaceae","Convolvulus","Convolvulus althaeoides","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","pink","campanulate","actinomorphic","22.5","20","25","17.5","15","20","NA","7.5","5","10","NA","NA","4","NA","NA","NA","NA","herb","perennial","NA","NA","1","NA; wood et a., 2015","online: http://www.maltawildplants.com/; journal: phytokeys","NA","http://dx.doi.org/10.3897/phytokeys.51.7104","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Convolvulus althaeoides"
"Convolvulus althaeoides","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Solanales","Convolvulaceae","Convolvulus","Convolvulus althaeoides","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","pink","campanulate","actinomorphic","22.5","20","25","17.5","15","20","NA","7.5","5","10","NA","NA","4","NA","NA","NA","NA","herb","perennial","NA","NA","1","NA; wood et a., 2015","online: http://www.maltawildplants.com/; journal: phytokeys","NA","http://dx.doi.org/10.3897/phytokeys.51.7104","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Convolvulus althaeoides"
"Dorichnium pentaphylum","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Fabales","Fabaceae","Dorycnium","Dorycnium pentaphyllum","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower",NA,"NA","NA","pink","tube","zygomorphic","3.5","NA","NA","4.5","3","6","4.5","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","NA","0.6","0.3","NA","online: https://www.turkiyebitkileri.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Dorycnium pentaphyllum"
"Euphorbea segatalis","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia segetalis","NA","separated & bisexual","andromonoecious","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","green","exposed","actinomorphic","2","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","annual","NA","NA","0.35","NA","http://www.maltawildplants.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Euphorbia segetalis"
"Galactites tomentosa","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","batomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Asterales","Asteraceae","Galactites","Galactites tomentosus","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","NA","NA","NA","purple","capitulum","actinomorphic","60","NA","NA","16.5","13","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","annual","0.15","1","0.27500000000000002","NA","online: https://floradegalicia.wordpress.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Galactites tomentosus"
"Lathirus clymenum","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Fabales","Fabaceae","Lathyrus","Lathyrus clymenum","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_compatible","flower","NA","NA","NA","purple","papilionaceous","zygomorphic","18","16","20","18","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","annual","0.3","1","0.65","NA; abdullah 2011","online: http://www.cretanflora.com/ *height, life form*; thesis: ecogeographic, genetic and taxanomic studies of the genus lathyrus *compatibility genus*","NA","http://etheses.bham.ac.uk/id/eprint/3061","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Lathyrus clymenum"
"Lavandula stoechas","Adelidae",2,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Lamiales","Lamiaceae","Lavandula","Lavandula stoechas","NA","bisexual","hermaphrodite","NA","low","qualitative","NA","NA","NA","partially_self_compatible","herrera 1991; magrach, molina & bartomeus 2019","journal: american journal of botany; journal: preprint biorxiv"," https://doi.org/10.2307/2445069 ; 10.1101/629931","self_compatible","flower","no","NA","NA","purple","tube","zygomorphic","7","NA","NA","6.5","5","8","6.5","4","NA","NA","NA","NA","4","NA","NA","NA","NA","shrub","perennial","0.23","1","0.61499999999999999","NA; NA; NA","online: http://www.floraiberica.es/; online: http://www.nzpcn.org.nz/ *ovule number, all lamiaceae the same*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Lavandula stoechas"
"Lavandula stoechas","Adelidae",2,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Lamiales","Lamiaceae","Lavandula","Lavandula stoechas","NA","bisexual","hermaphrodite","NA","low","qualitative","NA","NA","NA","NA","herrera 1991","journal: american journal of botany"," https://doi.org/10.2307/2445069 ","self_compatible","flower","no","NA","NA","purple","tube","zygomorphic","7","NA","NA","6.5","5","8","6.5","4","NA","NA","NA","NA","2","NA","NA","NA","NA","shrub","perennial","0.6","0.9","0.75","NA","online: https://keyserver.lucidcentral.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Lavandula stoechas"
"Linum sp.","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Malpighiales","Linaceae","Linum","Linum sp.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","0.2","0.9","0.55000000000000004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Linum sp."
"Psoralea bituminosa","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_miq1op.csv","Spain",42.315336,3.296797,"Fabales","Fabaceae","Bituminaria","Bituminaria bituminosa","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","self_compatible","correal et al., 2008","journal: options meditarreennes","NA","NA","flower","NA","NA","NA","purple","tube","zygomorphic","2.5","NA","NA","11.5","NA","NA","11.5","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","herb","annual","0.1","0.45","0.27500000000000002","NA","online: http://www.herbiguide.com.au/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Bituminaria bituminosa"
"Rosmarinus officinalis","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","NA","bisexual","hermaphrodite","NA","low","qualitative","NA","NA","NA","self_compatible","hidalgo & hubera 2001","journal: the international journal of developmental biology","10.1111/plb.12686","NA","flower","yes","NA","no","purple","tube","zygomorphic","15","NA","NA","15","5","25","7","15","NA","NA","NA","NA","8","NA","NA","NA","NA","shrub","perennial","NA","0.9","0.45","hidalgo & ubera 2001; NA","journal: the international journal of developmental biology *breeding system, compatibility*; online: https://www.cabi.org/ *life form, height*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Rosmarinus officinalis"
"Rosmarinus officinalis","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","NA","bisexual","hermaphrodite","NA","low","qualitative","NA","NA","NA","self_compatible","hidalgo & hubera 2001","journal: the international journal of developmental biology","10.1111/plb.12686","NA","flower","yes","NA","no","purple","tube","zygomorphic","15","NA","NA","15","5","25","7","15","NA","NA","NA","NA","8","NA","NA","NA","NA","shrub","perennial","NA","2","1","hidalgo & ubera 2001; NA","journal: the international journal of developmental biology *breeding system, compatibility*; online: https://www.cabi.org/ *life form, height*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Rosmarinus officinalis"
"Sonchus tenerrinus","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Asterales","Asteraceae","Sonchus","Sonchus tenerrimus","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","14","NA","NA","6.5","NA","NA","NA","9.5","9","10","NA","NA","100","NA","NA","NA","NA","herb","annual_short_lived_perennial","0.2","0.4","0.3","NA; NA; NA","online: http://www.maltawildplants.com/; online: https://www.floravascular.com/; online: https://www.gbif.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Sonchus tenerrimus"
"Thymelaea hirusta","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Malvales","Thymelaeaceae","Thymelaea","Thymelaea hirsuta","NA","separated & bisexual","subdioecious","NA","low","qualitative","NA","NA","NA","self_compatible","cornara 2005","journal: plant systematics and evolution","10.1007/s00606-004-0236-x","NA","flower","yes","apomixis but low","yes","yellow","campanulate","actinomorphic","3.75","3.5","4","2.5","NA","NA","NA","0.25","NA","NA","9.8000000000000004E-2","NA","1","NA","NA","NA","NA","shrub","perennial","1","2","1.5","NA; zahran & willis 1992; cornara et al., 2005","online: http://powo.science.kew.org/ *life form*; book: the vegetation of egypt *height*; journal: Plant systematics and evolution *compatibility, breeding system, apomixis, flower size*","NA","ISBN :412315106","10.1007/s00606-004-0236-x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Thymelaea hirsuta"
"Urospermum picrioides","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Asterales","Asteraceae","Urospermum","Urospermum picroides","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","20","NA","NA","17.5","15","20","NA","10.5","10","11","NA","NA","NA","NA","NA","NA","NA","herb","annual","0.1","0.5","0.3","NA","online: https://www.gbif.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Urospermum picroides"
"Vicea lutea","Adelidae",0,"1_metaweb_carpobrotus_Bartomeus_2008.csv","bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Fabales","Fabaceae","Vicia","Vicia lutea","NA","bisexual","hermaphrodite","NA","high","qualitative","NA","NA","NA","self_compatible","bennett 1999","book: genetic resources of mediterranean pasture and forage legumes","NA","NA","flower","NA","NA","NA","white_yellow","tube","zygomorphic","11.25","NA","NA","22.5","20","25","11.25","NA","NA","NA","NA","NA","4.5","4","5","NA","NA","NA","NA","NA","NA","NA","bok & gazzah 2008; NA; gunn 1927","journal: international journal of integrative biology *breeding system, compatibility*; online: http://www.florabeilles.org/ ; book: seeds of nature and naturalized vetches of north america","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Vicia lutea"
"Achillea wilsoniana","Agromyzidae sp",0,"10_metaweb_fang_huang_2012.csv","fang_huang_2008.csv","China",27.90139,99.63806,"Asterales","Asteraceae","Achillea","Achillea wilsoniana","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_incompatible","capitulum","yes","rhizomes","NA","white","capitulum","actinomorphic","6","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.5","0.8","0.65","NA; NA; sun et al., 2017; NA","*based on the close relative a.alpina* online: http://www.efloras.org; online: https://www.saskwildflower.ca; journal: korean journal of plant taxonomy *floral traits*; online: http://apotheca.myspecies.info *ray female*","NA","NA","https://doi.org/10.11110/kjpt.2017.47.2.112","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Achillea wilsoniana"
"Aconitum piepunense","Agromyzidae sp",0,"10_metaweb_fang_huang_2012.csv","fang_huang_2009.csv","China",27.90139,99.63806,"Ranunculales","Ranunculaceae","Aconitum","Aconitum piepunense","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","blue","bowl","zygomorphic","13","NA","NA","7.5","NA","NA","NA","NA","NA","NA","NA","NA","58","NA","NA","NA","NA","herb","perennial","NA","NA","NA","gao et al., 2015; NA","journal: journal of plant ecology *ovules, pollen*; online: http://worldfloraonline.org","10.1093/jpe/rtv011","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Aconitum piepunense"
"Adenophora capillaris","Agromyzidae sp",0,"10_metaweb_fang_huang_2012.csv","fang_huang_2008.csv","China",27.90139,99.63806,"Asterales","Campanulaceae","Adenophora","Adenophora capillaris","NA","bisexual","hermaphrodite","NA","low","quantitative","NA","0.08","NA","self_incompatible","liu & huang 2013","journal: oecologia","10.1007/s00442-013-2723-7","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","12.5","NA","NA","14","10","18","NA","20","15","25","NA","NA","152","NA","NA","NA","NA","herb","perennial","0.5","1","0.75","liu & huang 2013; gao, xiong & huang 2015","journal: oecologia *autogamy*, *flower size*; journal: journal of plant ecology *ovule number*","10.1007/s00442-013-2723-7","https://doi.org/10.1093/jpe/rtv011","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Adenophora capillaris"
"Adenophora jasionifolia","Agromyzidae sp",0,"10_metaweb_fang_huang_2012.csv","fang_huang_2008.csv","China",27.90139,99.63806,"Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","NA","bisexual","hermaphrodite","NA","low","quantitative","NA","0.12","NA","self_incompatible","liu & huang 2013","journal: oecologia","10.1007/s00442-013-2723-7","NA","flower","NA","NA","no","blue","campanulate","actinomorphic","20","NA","NA","18.440000000000001","NA","NA","NA","20","NA","NA","NA","NA","194.5","193","196","NA","NA","herb","perennial","NA","0.9","0.45","liu & huang 2013; liu & huang 2012","journal: oecologia *autogamy*, *flower size*; journal: journal of systematics and evolution","10.1007/s00442-013-2723-7","10.1111/j.1759-6831.2011.00175.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Adenophora jasionifolia"
"Adenophora khasiana","Agromyzidae sp",0,"10_metaweb_fang_huang_2012.csv","fang_huang_2008.csv","China",27.90139,99.63806,"Asterales","Campanulaceae","Adenophora","Adenophora khasiana","NA","bisexual","hermaphrodite","NA","low","quantitative","NA","0.12","NA","self_incompatible","liu & huang 2013","journal: oecologia","10.1007/s00442-013-2723-7","NA","flower","NA","NA","no","blue","campanulate","actinomorphic","35","NA","NA","20.59","NA","NA","NA","24","NA","NA","NA","NA","356","NA","NA","NA","NA","herb","perennial","0.6","1.2","0.9","liu & huang 2013; gao, xiong & huang 2015","journal: oecologia *autogamy*, *flower size*; journal: journal of plant ecology *ovule number*","10.1007/s00442-013-2723-7","https://doi.org/10.1093/jpe/rtv011","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Adenophora khasiana"
"Agrimonia pilosa","Agromyzidae sp",0,"10_metaweb_fang_huang_2012.csv","fang_huang_2008.csv","China",27.90139,99.63806,"Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_compatible","flower","yes","rhizomes","NA","yellow","dish","actinomorphic","7.5","6","9","1","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","herb","perennial","0.3","1.2","0.75","macroberts & macroberts 1997; NA; mochizuki et al; 2019","journal: phytologia; online: efloras.org; journal: aobplants","NA","NA","https://doi.org/10.1093/aobpla/plz061","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Agrimonia pilosa"
"Ajuga forrestii","Agromyzidae sp",0,"10_metaweb_fang_huang_2012.csv","fang_huang_2008.csv","China",27.90139,99.63806,"Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","stolons","NA","yellow","tube","zygomorphic","9","NA","NA","9","7","11","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","herb","annual_short_lived_perennial","0.06","0.3","0.18","NA; NA; NA","online: http://www.plantsoftheworldonline.org/ *life form*; online: http://midatlanticherbaria.org/ *ovule number*; online: http://www.efloras.org/ *flower size*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Ajuga forrestii"
"Allium atrosanguineum","Agromyzidae sp",0,"10_metaweb_fang_huang_2012.csv","fang_huang_2008.csv","China",27.90139,99.63806,"Asparagales","Amaryllidaceae","Allium","Allium atrosanguineum","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","purple","tube","actinomorphic","NA","NA","NA","NA","NA","NA","NA","5.25","3.5","7","NA","NA","6","NA","NA","NA","NA","herb","perennial","NA","0.6","0.3","NA; NA","online: http://efloras.org/; online: http://swbiodiversity.org/ *ovule number*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Allium atrosanguineum"
