"Plant_species","Pollinator_species","Interaction","Id","Unique_id","Locality","Latitude","Longitude","Order_all","Family_all","Genus_all","Species_all","Subspecies","Sex_or_flower_type","Breeding_system","Breeding_system_info","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","Compatibility","Self_compatible_author","Self_compatible_reference","Self_compatible_doi","Compatibility_genus","Info_level","Asexual_reproduction","Asexual_reproduction_type","Agamospermy/apomixis (yes/no/some_populations)","Flower_colour","Flower_morphology","Flower_symmetry","Corolla_diameter_mean","Corolla_diameter_min","Corolla_diameter_max","Corolla_length_mean","Corolla_length_min","Corolla_length_max","Tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_N","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","References","Reference_info","DOI","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n","Species"
"Tuberaria guttata","Acmaeoderella adspersula",0,"29_metaweb_bartomeus_unpublished_data_2015.csv","bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Malvales","Cistaceae","Tuberaria","Tuberaria guttata","NA","bisexual","hermaphrodite","NA","high","quantitative","90","NA","NA","self_compatible","herrera 1992","journal: plant systematics and evolution","https://doi.org/10.1007/BF00937600","NA","flower","no","no","no","yellow","dish","actinomorphic","11.5","8","15","3","NA","NA","NA","NA","NA","NA","NA","NA","60","50","70","NA","NA","herb","annual","0.05","0.4","0.22500000000000001","NA; NA; proctor 1960; herrera 2004","online: http://ucjeps.berkeley.edu/; online: https://bsbi.org/; journal: journal of ecology","NA","NA","10.2307/2257323","10.1023/B:VEGE.0000026340.53858.44","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Tuberaria guttata"
"Ulex australis","Acmaeoderella adspersula",0,"29_metaweb_bartomeus_unpublished_data_2015.csv","bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Fabales","Fabaceae","Ulex","Ulex parviflorus","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","471","self_incompatible","magrach, molina & bartomeus 2019; herrera 1987","journal: preprint biorxiv; journal: annals of the missouri botanical garden","10.1101/629931; 10.2307/2399263","NA","flower","NA","NA","NA","yellow","papilionaceous","zygomorphic","2.5","NA","NA","7.25","6.5","9","NA","NA","NA","NA","NA","NA","2","2","NA","NA","NA","shrub","perennial","NA","2","1","NA; uso et al., 2008","journal: mathematical biosciences","NA","https://doi.org/10.1016/j.mbs.2018.01.005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Ulex parviflorus"
"Ajuga reptans","Episyrphus balteatus",0,"3_bek_2006.csv","beck_2006.csv","Denmark",56.066667,10.216667,"Lamiales","Lamiaceae","Ajuga","Ajuga reptans","NA","separated & bisexual","gynodioecious","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_compatible","flower","yes","stolons","NA","blue","papilionaceous","zygomorphic","11.5","NA","NA","15.5","14","17","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","herb","perennial","0.1","0.6","0.35","NA; NA; NA; hickey et al.,  1997","online: http://www.luontoportti.com; online: http://www.missouriplants.com *stolons*; journal: international journal of plant science *compatibility genus*; book: common families of flowering plants","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Ajuga reptans"
"Angelica sylvestris","Episyrphus balteatus",1,"3_bek_2006.csv","beck_2006.csv","Denmark",56.066667,10.216667,"Apiales","Apiaceae","Angelica","Angelica sylvestris","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_compatible","flower","yes","rhizomes","NA","white","dish","actinomorphic","4.5","4","5","0.5","NA","NA","NA","1.5","1","2","NA","NA","NA","NA","NA","NA","NA","herb","perennial","1.5","2","1.75","NA; niemirski & zych 2011; NA","online: http://www.luontoportti.com; journal: plant systematics and evolution; online: http://www.floranordica.org/","NA","https://doi.org/10.1007/s00606-011-0454-y","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Angelica sylvestris"
"Anthriscus sylvestris","Episyrphus balteatus",0,"3_bek_2006.csv","beck_2006.csv","Denmark",56.066667,10.216667,"Apiales","Apiaceae","Anthriscus","Anthriscus sylvestris","NA","separated & bisexual","andromonoecious","NA","NA","NA","NA","NA","NA","self_compatible","NA","NA","NA","NA","flower","yes","shoots","NA","white","dish","zygomorphic","4.5","3","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.3","1.5","0.9","darbyhire, hoeg & haverkort 1999; hoffmann 2005","journal: canadian journal of plant science; thesis: iodiversity and pollination: lowering plants and lower-visiting insects and agricultutal and semi-natural landscapes","https://doi.org/10.4141/P98-128","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Anthriscus sylvestris"
"Centaurea jacea","Episyrphus balteatus",1,"3_bek_2006.csv","beck_2006.csv","Denmark",56.066667,10.216667,"Asterales","Asteraceae","Centaurea","Centaurea jacea","NA","bisexual","hermaphrodite","NA","low","quantitative","NA","3","NA","self_incompatible","hardy etl al., 2001","journal: heredity"," https://doi.org/10.1046/j.1365-2540.2001.00862.x ","NA","capitulum","yes","stolons and rhizomes","no","purple","dish","actinomorphic","45","NA","NA","16.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.1","0.8","0.45","albrecht 2009; lundgren, azaro & totland;mohlenbrock 2017; NA","journal: plos one; journal: journal of pollination ecology; book: fowering plants: asteraceae, part 3; online: http://botphoto.com","https://doi.org/10.1371/journal.pone.0006751","https://doi.org/10.26786/1920-7603(2013)5","ISBN: 9780809336050","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Centaurea jacea"
"Cerastium fontanum","Episyrphus balteatus",1,"3_bek_2006.csv","beck_2006.csv","Denmark",56.066667,10.216667,"Caryophyllales","Caryophyllaceae","Cerastium","Cerastium fontanum","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","rhizomes","NA","white","bowl","actinomorphic","7.5","5","10","4.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.06","0.35","0.2","NA; NA","online: http://ucjeps.berkeley.edu; online: https://plantevaernonline.dlbr.dk","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cerastium fontanum"
"Cirsium oleraceum","Episyrphus balteatus",1,"3_bek_2006.csv","beck_2006.csv","Denmark",56.066667,10.216667,"Asterales","Asteraceae","Cirsium","Cirsium oleraceum","NA","separated & bisexual","gynodioecious","NA","low","qualitative","NA","NA","NA","self_compatible","NA","NA","NA","NA","capitulum","yes","rhizomes","NA","yellow","campanulate","actinomorphic","40","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.4","1.2","0.8","charlesworth 1981; talavera & valdes 1976; bell et al., 2012","journal: heredity; journal: lagascalia; book: darwins biological work: some aspects reconsidered","https://doi.org/10.1038/hdy.1981.3","NA","ISBN: 1107697158","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cirsium oleraceum"
"Crepis paludosa","Episyrphus balteatus",1,"3_bek_2006.csv","beck_2006.csv","Denmark",56.066667,10.216667,"Asterales","Asteraceae","Crepis","Crepis paludosa","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","yes","rhizomes","NA","yellow","campanulate","actinomorphic","20","15","25","3.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.25","1","0.625","duwe et al., 2017; harrap 2014; NA","journal: conservation genetics; book: harrap's ild flowers; NA","https://doi.org/10.1007/s10592-017-1025-8","ISBN: 1408189879","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Crepis paludosa"
"Filipendula ulmaria","Episyrphus balteatus",1,"3_bek_2006.csv","beck_2006.csv","Denmark",56.066667,10.216667,"Rosales","Rosaceae","Filipendula","Filipendula ulmaria","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","rhizomes","NA","white","dish","actinomorphic","6.5","5","8","0.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.5","1.2","0.85","NA","online: http://www.luontoportti.com","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Filipendula ulmaria"
