"","db","query","order","family","genus","genus_old"
"98","itis","1241","Diptera","Muscidae","Musca","Musca"
"99","itis","1242","Diptera","Muscidae",NA,"Muscidae"
"100","itis","1253",NA,NA,NA,"Mydeae"
"101","itis","1316","Lepidoptera","Nymphalidae",NA,"Nymphalidae"
"102","itis","1326","Diptera","Stratiomyidae","Odontomyia","Odontomyia"
"103","itis","1421","Diptera","Syrphidae","Paragus","Paragus"
"104","itis","1456","Diptera","Tachinidae","Peleteria","Peleteria"
"105","itis","1485","Diptera","Tachinidae",NA,"Phasiini"
"106","itis","1523","Lepidoptera","Pieridae",NA,"Pieridae"
"107","itis","1524","Ericales","Ericaceae","Pieris","Pieris"
"108","itis","1537","Diptera","Syrphidae","Platycheirus","Platycheirus"
"109","itis","1549","Hymenoptera","Sphecidae","Podalonia","Podalonia"
"110","itis","1659","Lepidoptera","Pyralidae",NA,"Pyralidae"
"111","itis","1682","Diptera","Syrphidae","Rhingia","Rhingia"
"112","itis","1711","Diptera","Sarcophagidae",NA,"Sarcophagidae"
"113","itis","1720","Lepidoptera","Nymphalidae",NA,"Satyrinae"
"114","itis","1727","Coleoptera","Scarabaeidae",NA,"Scarabaeidae"
"115","itis","1728","Coleoptera",NA,NA,"Scarabaeoidea"
"116","itis","1733","Diptera","Scatopsidae",NA,"Scatopsidae"
"117","itis","1748",NA,NA,NA,"Scolidae"
"118","itis","1759","Diptera","Sepsidae",NA,"Sepsidae"
"119","itis","1763","Diptera","Syrphidae","Sericomyia","Sericomyia"
"120","itis","1791","Diptera","Syrphidae","Sphaerophoria","Sphaerophoria"
"121","itis","1792","Hymenoptera","Sphecidae",NA,"Sphecidae"
"122","itis","1836","Diptera","Stratiomyidae",NA,"Stratiomyidae"
"123","itis","1857","Diptera","Syrphidae",NA,"Syrphid"
"124","itis","1862","Diptera","Syrphidae","Syrphus","Syrphus"
"125","itis","1870","Diptera","Tachinidae",NA,"Tachinidae"
"126","itis","1899","Hymenoptera","Tenthredinidae",NA,"Tenthredinidae"
"127","itis","1902","Diptera","Tephritidae",NA,"Tephritidae"
"128","itis","1997","Lepidoptera","Nymphalidae","Vanessa","Vanessa"
"129","itis","2003","Hymenoptera","Vespidae",NA,"Vespidae"
"130","itis","2011","Diptera","Syrphidae","Volucella","Volucella"
"131","itis","2012","Diptera","Tachinidae",NA,"Voriini"
"132","itis","719","Coleoptera","Nitidulidae","Epuraea","Epuraea"
"133","itis","297","Coleoptera","Byturidae","Byturus","Byturus"
"134","itis","1986",NA,NA,NA,"Unidentified"
"135","itis","1236","Coleoptera","Mordellidae","Mordellina","Mordellina"
"136","itis","1799","Diptera","Syrphidae","Sphegina","Sphegina"
"137","itis","2002","Hymenoptera","Vespidae","Vespa","Vespa"
"138","itis","1342",NA,NA,NA,"Onomaus"
"139","itis","1690","Hymenoptera","Crabronidae","Rhopalum","Rhopalum"
"140","itis","781",NA,NA,NA,"Eusphalerum"
"141","itis","1306",NA,NA,NA,"Nonartha"
"142","itis","775","Hymenoptera","Andrenidae","Clavipanurgus","Eurystylus"
"143","itis","668",NA,NA,NA,"Ectophasia"
"144","itis","1186",NA,NA,NA,"Menida"
"145","itis","715",NA,NA,NA,"Epistotophe"
"146","itis","1818",NA,NA,NA,"Stenoluperus"
"147","itis","832","Hemiptera","Geocoridae","Geocoris","Geocoris"
"148","itis","1031","Hymenoptera","Formicidae","Lasius","Lasius"
"149","itis","219","Diptera","Syrphidae","Baccha","Baccha"
"150","itis","339",NA,NA,NA,"Carbula"
"151","itis","1162","Diptera","Stratiomyidae","Borboridea","Megaspis"
"152","itis","600",NA,NA,NA,"Dasytes"
"153","itis","869","Diptera","Tachinidae","Gymnosoma","Gymnosoma"
"154","itis","1061","Coleoptera","Cerambycidae","Leptura","Leptura"
"155","itis","1296",NA,NA,NA,"Nipponovalgus"
"156","itis","1328",NA,NA,NA,"Oedemeronia"
"157","itis","1522","Coleoptera","Cerambycidae","Pidonia","Pidonia"
"158","itis","266","Diptera","Bombyliidae","Bombylius","Bombylius"
"159","itis","538",NA,NA,NA,"Corymbas"
"160","itis","1951",NA,NA,NA,"Tremus"
"161","itis","296",NA,NA,NA,"Byctiscus"
"162","itis","608","Sabellida","Sabellidae","Demonax","Demonax"
"163","itis","1494","Diptera","Acroceridae","Philopota","Philopota"
"164","itis","1650",NA,NA,NA,"Pteroelecta"
"165","itis","160",NA,NA,NA,"Arasehmia"
"166","itis","249",NA,NA,"Blitopertha","Blitopertha"
"167","itis","272",NA,NA,NA,"Bothrogonia"
"168","itis","176",NA,NA,NA,"Asarcuna"
"169","itis","772",NA,NA,NA,"Euricania"
"170","itis","854",NA,NA,NA,"Gorpis"
"171","itis","1064","Hymenoptera","Crabronidae","Lestica","Lestica"
"172","itis","1317","Hemiptera","Lygaeidae","Nysius","Nysius"
"173","itis","1322",NA,NA,NA,"Ocholodes"
"174","itis","1927",NA,NA,NA,"Thoressa"
"175","itis","26","Hemiptera","Miridae","Adelphocoris","Adelphocoris"
"176","itis","373",NA,NA,NA,"Cephenius"
"177","itis","853",NA,NA,NA,"Gormnosoma"
"178","itis","1509",NA,NA,NA,"Phyllobius"
"179","itis","349","Coleoptera","Nitidulidae","Carpophilus","Carpophilus"
"180","itis","531",NA,NA,NA,"Coraebus"
"181","itis","674","Hemiptera","Acanthosomatidae","Elasmostethus","Elasmostethus"
"182","itis","703","Hymenoptera","Apidae","Epeolus","Epeolus"
"183","itis","729",NA,NA,NA,"Eristalomya"
"184","itis","738",NA,NA,NA,"Eucetonia"
"185","itis","757","Diptera","Syrphidae","Eumerus","Eumerus"
"186","itis","823",NA,NA,NA,"Ganoxanthus"
"187","itis","865",NA,NA,NA,"Graptomyza"
"188","itis","1142",NA,NA,NA,"Mauoglossum"
"189","itis","1462",NA,NA,NA,"Penthesilea"
"190","itis","1480",NA,NA,NA,"Phalacrodira"
"191","itis","1599",NA,NA,NA,"Prothemus"
"192","itis","1764",NA,NA,NA,"Servillia"
"193","itis","1900",NA,NA,NA,"Tenthredo"
"194","itis","1979",NA,NA,NA,"Trpocylon"
"195","itis","191",NA,NA,NA,"Athalia"
"196","itis","238",NA,NA,NA,"Betasorrphus"
"197","itis","632",NA,NA,NA,"Dinoptera"
"198","itis","648","Hymenoptera","Vespidae","Dolichovespula","Dolichovespula"
"199","itis","713",NA,NA,NA,"Epistorophe"
"200","itis","755","Hymenoptera","Vespidae","Eumenes","Eumenes"
"201","itis","Idiostrangaiia",NA,NA,NA,"Idiostrangaiia"
"202","itis","Metialina",NA,NA,NA,"Metialina"
"203","itis","Molipteryx","Hemiptera","Coreidae","Molipteryx","Molipteryx"
"204","itis","Pachyprotasis",NA,NA,NA,"Pachyprotasis"
"205","itis","Penthesiiea",NA,NA,NA,"Penthesiiea"
"206","itis","Siobla",NA,NA,NA,"Siobla"
"207","itis","Stenbluperus",NA,NA,NA,"Stenbluperus"
"208","itis","Strangalomorpha",NA,NA,NA,"Strangalomorpha"
"209","itis","Tachinus",NA,NA,NA,"Tachinus"
"210","itis","Vollucella",NA,NA,NA,"Vollucella"
"211","itis","Vuilletus",NA,NA,NA,"Vuilletus"
"212","itis","Zeugophora","Coleoptera","Megalopodidae","Zeugophora","Zeugophora"
"213","itis","Agelasa",NA,NA,NA,"Agelasa"
"214","itis","Alysson","Hymenoptera","Crabronidae","Alysson","Alysson"
"215","itis","Asiemphytus",NA,NA,NA,"Asiemphytus"
"216","itis","Brachyloma",NA,NA,NA,"Brachyloma"
"217","itis","Bruchidius","Coleoptera","Chrysomelidae","Bruchidius","Bruchidius"
"218","itis","Cerceris","Hymenoptera","Crabronidae","Cerceris","Cerceris"
"219","itis","Crossocerus","Hymenoptera","Crabronidae","Crossocerus","Crossocerus"
"220","itis","Didea","Diptera","Syrphidae","Didea","Didea"
"221","itis","Ectemnius","Hymenoptera","Crabronidae","Ectemnius","Ectemnius"
"222","itis","Elasmucha","Hemiptera","Acanthosomatidae","Elasmucha","Elasmucha"
"223","itis","Euctenurapteryx",NA,NA,NA,"Euctenurapteryx"
"224","itis","Eurema","Lepidoptera","Pieridae","Eurema","Eurema"
"225","itis","Galerucella","Coleoptera","Chrysomelidae","Galerucella","Galerucella"
"226","itis","Harmonia",NA,NA,NA,"Harmonia"
"227","itis","Lasiogtossum",NA,NA,NA,"Lasiogtossum"
"228","itis","Linoetis",NA,NA,NA,"Linoetis"
"229","itis","Monolepta",NA,NA,NA,"Monolepta"
"230","itis","Oxycetonia",NA,NA,NA,"Oxycetonia"
"231","itis","Pachytodes",NA,NA,NA,"Pachytodes"
"232","itis","Pelopides",NA,NA,NA,"Pelopides"
"233","itis","Phyllopertha",NA,NA,"Phyllopertha","Phyllopertha"
"234","itis","Pipiza","Diptera","Syrphidae","Pipiza","Pipiza"
"235","itis","Pristosia",NA,NA,NA,"Pristosia"
"236","itis","Psenulus","Hymenoptera","Crabronidae","Psenulus","Psenulus"
"237","itis","Sphecoid",NA,NA,NA,"Sphecoid"
"238","itis","Strombocerina",NA,NA,NA,"Strombocerina"
"239","itis","Tetralonia","Hymenoptera","Apidae","Tetralonia","Tetralonia"
"240","itis","Thlaspida","Coleoptera","Chrysomelidae","Thlaspida","Thlaspida"
"241","itis","Tiphia","Hymenoptera","Tiphiidae","Tiphia","Tiphia"
"242","itis","Trachys","Coleoptera","Buprestidae","Trachys","Trachys"
"243","itis","Trichius",NA,NA,NA,"Trichius"
"244","itis","Vespula","Hymenoptera","Vespidae","Vespula","Vespula"
"245","itis","Xylocopa","Hymenoptera","Apidae","Xylocopa","Xylocopa"
"246","itis","Acanthosoma",NA,NA,"Acanthosoma","Acanthosoma"
"247","itis","Actina","Diptera","Stratiomyidae","Actina","Actina"
"248","itis","Agelastica","Coleoptera","Chrysomelidae","Agelastica","Agelastica"
"249","itis","Ahlber",NA,NA,NA,"Ahlber"
"250","itis","Allantus","Hymenoptera","Tenthredinidae","Allantus","Allantus"
"251","itis","Ampedus",NA,NA,NA,"Ampedus"
"252","itis","Angelasa",NA,NA,NA,"Angelasa"
"253","itis","Apoderus","Coleoptera","Attelabidae","Apoderus","Apoderus"
"254","itis","Arge","Hymenoptera","Argidae","Arge","Arge"
"255","itis","Asclera","Coleoptera","Oedemeridae","Asclera","Asclera"
"256","itis","Astochia",NA,NA,NA,"Astochia"
"257","itis","Basilepta",NA,NA,NA,"Basilepta"
"258","itis","Batozenellus",NA,NA,NA,"Batozenellus"
"259","itis","Brachyopa","Diptera","Syrphidae","Brachyopa","Brachyopa"
"260","itis","Campsomeris",NA,NA,NA,"Campsomeris"
"261","itis","Cassida","Coleoptera","Chrysomelidae","Cassida","Cassida"
"262","itis","Cheliosia",NA,NA,NA,"Cheliosia"
"263","itis","Choaspes",NA,NA,NA,"Choaspes"
"264","itis","Chrysogaster","Diptera","Syrphidae","Chrysogaster","Chrysogaster"
"265","itis","Chrysotoxum","Diptera","Syrphidae","Chrysotoxum","Chrysotoxum"
"266","itis","Colpura",NA,NA,NA,"Colpura"
"267","itis","Crabro","Hymenoptera","Crabronidae","Crabro","Crabro"
"268","itis","Criorhina","Diptera","Syrphidae","Criorhina","Criorhina"
"269","itis","Cryptophagus","Coleoptera","Cryptophagidae","Cryptophagus","Cryptophagus"
"270","itis","Daimio",NA,NA,NA,"Daimio"
