"","Genus"
"1","Adelidae"
"2","Amegilla"
"3","Andrena"
"4","Anthidium"
"5","Anthophora"
"6","Apis"
"7","Bibionidae"
"8","Bombus"
"9","Bombyliidae"
"10","Coleoptera"
"11","Colletes"
"12","Conophorus"
"13","Criptocephalus"
"14","Halictus"
"15","Hylaeus"
"16","Ichneumonidae"
"17","Lasioglossum"
"18","Megachile"
"19","Megachilidae"
"20","Megaquile"
"21","Milichidae"
"22","Mordellistena"
"23","Nomada"
"24","Oedemera"
"25","Osmia"
"26","Oxythyrea"
"27","Plagiolepsis"
"28","Polistes"
"29","Psilothrix"
"30","Ptinidae"
"31","Sphaerophoeria"
"32","Sphecodes"
"33","Zygaena"
"34","Agromyzidae"
"35","Allograpta"
"36","Ammophila"
"37","Anthomyiidae"
"38","Apoidea"
"39","Aporia"
"40","Argidae"
"41","Asarkina"
"42","Betasyrphus"
"43","Calliphoridae"
"44","Camponotus"
"45","Cantharidae"
"46","Carcelia"
"47","Ceratina"
"48","Chalcosyrphus"
"49","Cheilosia"
"50","Chrysopidae"
"51","Coccinellidae"
"52","Coelioxys"
"53","Colias"
"54","Compsilura"
"55","Conopidae"
"56","Crabronidae"
"57","Crambidae"
"58","Culicidae"
"59","Danaidae"
"60","Dermaptera"
"61","Dufourea"
"62","Empididae"
"63","Episyrphus"
"64","Eriozona"
"65","Eristalinus"
"66","Eristalis"
"67","Eupeodes"
"68","Exorista"
"69","Forficulidae"
"70","Formica"
"71","Formicidae"
"72","Geometridae"
"73","Graphomya"
"74","Halictidae"
"75","Halictoides"
"76","Helina"
"77","Helophilus"
"78","Hesperiidae"
"79","Hoplitis"
"80","Hydrotaea"
"81","Hypercompe"
"82","Ichneumon"
"83","Lauxaniidae"
"84","Leucozona"
"85","Linnaemya"
"86","Lucilia"
"87","Lycaenidae"
"88","Macquartiini"
"89","Macropis"
"90","Megasyrphus"
"91","Meigenia"
"92","Melangyna"
"93","Melanostoma"
"94","Meliscaev"
"95","Melitta"
"96","Metasyrphus"
"97","Miridae"
"98","Musca"
"99","Muscidae"
"100","Mydeae"
"101","Nymphalidae"
"102","Odontomyia"
"103","Paragus"
"104","Peleteria"
"105","Phasiini"
"106","Pieridae"
"107","Pieris"
"108","Platycheirus"
"109","Podalonia"
"110","Pyralidae"
"111","Rhingia"
"112","Sarcophagidae"
"113","Satyrinae"
"114","Scarabaeidae"
"115","Scarabaeoidea"
"116","Scatopsidae"
"117","Scolidae"
"118","Sepsidae"
"119","Sericomyia"
"120","Sphaerophoria"
"121","Sphecidae"
"122","Stratiomyidae"
"123","Syrphid"
"124","Syrphus"
"125","Tachinidae"
"126","Tenthredinidae"
"127","Tephritidae"
"128","Vanessa"
"129","Vespidae"
"130","Volucella"
"131","Voriini"
"132","Epuraea"
"133","Byturus"
"134","Unidentified"
"135","Mordellina"
"136","Sphegina"
"137","Vespa"
"138","Onomaus"
"139","Rhopalum"
"140","Eusphalerum"
"141","Nonartha"
"142","Eurystylus"
"143","Ectophasia"
"144","Menida"
"145","Epistotophe"
"146","Stenoluperus"
"147","Geocoris"
"148","Lasius"
"149","Baccha"
"150","Carbula"
"151","Megaspis"
"152","Dasytes"
"153","Gymnosoma"
"154","Leptura"
"155","Nipponovalgus"
"156","Oedemeronia"
"157","Pidonia"
"158","Bombylius"
"159","Corymbas"
"160","Tremus"
"161","Byctiscus"
"162","Demonax"
"163","Philopota"
"164","Pteroelecta"
"165","Arasehmia"
"166","Blitopertha"
"167","Bothrogonia"
"168","Asarcuna"
"169","Euricania"
"170","Gorpis"
"171","Lestica"
"172","Nysius"
"173","Ocholodes"
"174","Thoressa"
"175","Adelphocoris"
"176","Cephenius"
"177","Gormnosoma"
"178","Phyllobius"
"179","Carpophilus"
"180","Coraebus"
"181","Elasmostethus"
"182","Epeolus"
"183","Eristalomya"
"184","Eucetonia"
"185","Eumerus"
"186","Ganoxanthus"
"187","Graptomyza"
"188","Mauoglossum"
"189","Penthesilea"
"190","Phalacrodira"
"191","Prothemus"
"192","Servillia"
"193","Tenthredo"
"194","Trpocylon"
"195","Athalia"
"196","Betasorrphus"
"197","Dinoptera"
"198","Dolichovespula"
"199","Epistorophe"
"200","Eumenes"
