Network_id,type,gini,percentile_observed_gini
15_1_peralta_2006_mendoza_site_1,observed,0.4303206997084549,0.979
15_1_peralta_2006_mendoza_site_1,null,0.38600583090379004,0.979
15_1_peralta_2006_mendoza_site_1,null,0.39825072886297386,0.979
15_1_peralta_2006_mendoza_site_1,null,0.3795918367346939,0.979
15_1_peralta_2006_mendoza_site_1,null,0.39591836734693875,0.979
15_1_peralta_2006_mendoza_site_1,null,0.3877551020408164,0.979
15_1_peralta_2006_mendoza_site_1,null,0.40058309037900874,0.979
15_1_peralta_2006_mendoza_site_1,null,0.3795918367346939,0.979
15_1_peralta_2006_mendoza_site_1,null,0.4186588921282798,0.979
15_1_peralta_2006_mendoza_site_1,null,0.3848396501457726,0.979
15_1_peralta_2006_mendoza_site_1,null,0.3755102040816326,0.979
15_1_peralta_2006_mendoza_site_1,null,0.40583090379008746,0.979
15_1_peralta_2006_mendoza_site_1,null,0.4040816326530613,0.979
15_1_peralta_2006_mendoza_site_1,null,0.3924198250728862,0.979
15_1_peralta_2006_mendoza_site_1,null,0.42215743440233233,0.979
15_1_peralta_2006_mendoza_site_1,null,0.3440233236151603,0.979
15_1_peralta_2006_mendoza_site_1,null,0.3655976676384839,0.979
15_1_peralta_2006_mendoza_site_1,null,0.4087463556851313,0.979
15_1_peralta_2006_mendoza_site_1,null,0.37376093294460644,0.979
15_1_peralta_2006_mendoza_site_1,null,0.40816326530612235,0.979
15_1_peralta_2006_mendoza_site_1,null,0.3807580174927113,0.979
15_1_peralta_2006_mendoza_site_1,null,0.41399416909621,0.979
15_1_peralta_2006_mendoza_site_1,null,0.38192419825072876,0.979
15_1_peralta_2006_mendoza_site_1,null,0.4075801749271136,0.979
15_1_peralta_2006_mendoza_site_1,null,0.377259475218659,0.979
15_1_peralta_2006_mendoza_site_1,null,0.36501457725947517,0.979
15_1_peralta_2006_mendoza_site_1,null,0.36151603498542284,0.979
15_1_peralta_2006_mendoza_site_1,null,0.40058309037900874,0.979
15_1_peralta_2006_mendoza_site_1,null,0.3924198250728862,0.979
