Network_id,Type_network,Node_id,Node_FG,np1,np2,np3,np4,np5,np6,np7,np8,np9,np10,np11,np12,np13,np14,np15,np16,np17,np18,np19,np20,np21,np22,np23,np24,np25,np26,np27,np28,np29,np30,np31,np32,np33,np34,np35,np36,np37,np38,np39,np40,np41,np42,np43,np44,np45,np46
12_13_bartomeus_spain_2008_Pinodelcuervo_unp,observed,Andrena hispania,Bee,0,3,0,3,0,12,0,25,0,0,8,22,0,1,0,1,0,30,0,0,27,41,0,9,31,0,0,0,9,0,0,0,0,7,10,0,0,10,0,0,3,1,0,0,0,0
12_13_bartomeus_spain_2008_Pinodelcuervo_unp,observed,Apis mellifera,Bee,0,5,0,10,0,14,0,26,0,0,4,52,0,2,0,10,0,30,0,0,10,94,0,4,53,0,0,0,10,0,0,0,0,0,72,0,0,12,0,0,2,6,0,0,0,5
12_13_bartomeus_spain_2008_Pinodelcuervo_unp,observed,Bombylius sp.,Non-syrphids-diptera,0,1,0,0,0,6,0,15,0,0,6,0,0,0,0,-0,0,20,0,0,28,0,0,12,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
12_13_bartomeus_spain_2008_Pinodelcuervo_unp,observed,Ceratina cucurbitina,Bee,0,1,0,0,0,5,0,10,0,0,6,0,0,0,0,-0,0,10,0,0,22,0,0,14,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
12_13_bartomeus_spain_2008_Pinodelcuervo_unp,observed,Dasypoda cingulata,Bee,0,1,0,0,0,5,0,10,0,0,6,0,0,0,0,-0,0,10,0,0,22,0,0,14,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
12_13_bartomeus_spain_2008_Pinodelcuervo_unp,observed,Flavipanurgus venustus,Bee,0,1,0,0,0,6,0,15,0,0,6,0,0,0,0,-0,0,20,0,0,28,0,0,12,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
12_13_bartomeus_spain_2008_Pinodelcuervo_unp,observed,Merodon sp.,Syrphids,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_13_bartomeus_spain_2008_Pinodelcuervo_unp,observed,Musca sp.,Non-syrphids-diptera,0,1,0,0,0,2,0,1,0,0,6,0,0,0,0,-0,0,0,0,0,4,0,0,12,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
12_13_bartomeus_spain_2008_Pinodelcuervo_unp,observed,Nomada melathoracica,Bee,0,1,0,0,0,6,0,15,0,0,6,0,0,0,0,-0,0,20,0,0,28,0,0,12,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
12_13_bartomeus_spain_2008_Pinodelcuervo_unp,observed,Nomada merceti,Bee,0,1,0,0,0,5,0,10,0,0,6,0,0,0,0,-0,0,10,0,0,22,0,0,14,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
