Network_id,Type_network,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,1,2,120,0.002458562969944068,1,1,0.19607843137254902
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,2,3,289,0.005921039152615297,0.34652278177458035,1,0.059027777777777776
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,3,3,545,0.011165973488495974,0.6534772182254197,1,0.05088702147525677
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,4,4,1846,0.03782089368763957,0.302771855010661,1,0.015208436315702751
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,5,4,3150,0.06453727796103177,0.5166475315729047,0.8762169680111266,0.03676470588235294
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,6,4,445,0.009117171013542584,0.07298671477775956,0.12378303198887343,0.005193744164332399
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,7,4,656,0.013440144235694236,0.10759389863867476,1,0.02679738562091503
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,8,5,4877,0.09992009670347682,0.11679199195363762,1,0.004870254697244317
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,9,5,10644,0.2180745354340388,0.25489726519469325,0.4677242167245243,0.010961443400889767
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,10,5,6571,0.13462681062918724,0.15735906892092533,0.2887463198136837,0.006766971494480145
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,11,5,4940,0.10121084226269746,0.11830068489870205,0.21707606450762404,0.005087329049266766
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,12,5,602,0.012333790899219406,0.01441639925283778,0.02645339895416795,6.199538638985006e-4
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,13,5,7711,0.15798315884365588,0.18465922697447196,0.6015759088781402,0.01799953314659197
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,14,5,1900,0.0389272470241144,0.04550026342257771,0.1482290528943673,0.004435107376283847
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,15,5,2845,0.05828843041242394,0.06813065759854399,0.22195350288656576,0.006640989729225023
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,16,5,362,0.007416664959331271,0.00866899755735428,0.028241535340926823,8.450046685340803e-4
11_4_kaiser-bunbury_2017_seychelles_reserve,observed,17,5,1306,0.02675736032289127,0.03127544422625605,1,0.015242763772175537
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,1,2,120,0.003533048726630355,1,1,0.19607843137254902
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,2,3,208,0.006123951126159282,0.2942008486562942,1,0.042483660130718956
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,3,3,499,0.014691594288237892,0.7057991513437057,1,0.04659197012138189
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,4,4,1462,0.04304431031944649,0.3269230769230769,1,0.012044817927170869
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,5,4,2509,0.07387016045929634,0.561046511627907,0.9117005813953488,0.029283380018674136
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,6,4,243,0.007154423671426468,0.05433810375670841,0.08829941860465117,0.0028361344537815125
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,7,4,258,0.007596054762255263,0.057692307692307696,1,0.01053921568627451
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,8,5,3178,0.09356690711026057,0.11086304332658899,1,0.0031736045576876027
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,9,5,8178,0.2407772707198587,0.2852857043187051,0.45471226021684735,0.008421898171033119
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,10,5,6596,0.19419991167378184,0.23009837438079955,0.3667500695023631,0.006792717086834734
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,11,5,3004,0.08844398645664654,0.10479313472406335,0.16702807895468447,0.0030935903773274018
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,12,5,207,0.006094509053437362,0.007221098165073606,0.011509591326105087,2.1317350469599606e-4
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,13,5,3441,0.10131017223612543,0.1200376752947743,0.473249896850502,0.008032212885154062
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,14,5,2570,0.07566612689533343,0.08965324774994768,0.3534589464997937,0.005999066293183941
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,15,5,1153,0.03394670984837333,0.04022186562478197,0.1585751616008802,0.00269140989729225
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,16,5,107,0.0031503017812454,0.0037326449452312845,0.014715995048824095,2.497665732959851e-4
11_4_kaiser-bunbury_2017_seychelles_reserve,random 1,17,5,232,0.006830560871485353,0.008093211470034186,1,0.002707749766573296
11_4_kaiser-bunbury_2017_seychelles_reserve,random 2,1,2,120,0.003708052654347692,1,1,0.19607843137254902
11_4_kaiser-bunbury_2017_seychelles_reserve,random 2,2,3,215,0.006643594339039614,0.3125,1,0.043913398692810454
11_4_kaiser-bunbury_2017_seychelles_reserve,random 2,3,3,473,0.014615907545887152,0.6875,1,0.04416433239962652
11_4_kaiser-bunbury_2017_seychelles_reserve,random 2,4,4,1333,0.04119028490204561,0.3115942028985507,1,0.010982039874773438
11_4_kaiser-bunbury_2017_seychelles_reserve,random 2,5,4,2457,0.07592237809776899,0.5743338008415148,0.9191919191919192,0.028676470588235293
11_4_kaiser-bunbury_2017_seychelles_reserve,random 2,6,4,216,0.006674494777825845,0.05049088359046283,0.08080808080808081,0.0025210084033613447
11_4_kaiser-bunbury_2017_seychelles_reserve,random 2,7,4,272,0.008404919349854769,0.06358111266947171,1,0.011111111111111112
11_4_kaiser-bunbury_2017_seychelles_reserve,random 2,8,5,2878,0.08893146282677214,0.10551400498606833,1,0.002874019483016023
11_4_kaiser-bunbury_2017_seychelles_reserve,random 2,9,5,7738,0.23910759532785367,0.28369262355184044,0.46097938758489215,0.007968775745592354
