Motif_pattern_id,Motif_functional_ID,Mean_normalize_sum,Mean_normalize_sizeclass,Mean_normalize_nodesets,Sd_normalize_sum,Sd_normalize_sizeclass,Sd_normalize_nodesets
8,2_Bee_Bee_Coleoptera_Non-syrphids-diptera,9.547995249142769e-4,0.001159983623557426,1.2431066920137944e-5,0.003312355358543157,0.004005991319752175,4.148588931542137e-5
8,2_Bee_Bee_Bee_Bee,0.00807504781848279,0.011832909021158812,2.2704917679950825e-4,0.021565065550334925,0.03142113399208067,7.849449132782407e-4
8,2_Bee_Coleoptera_Coleoptera_Non-syrphids-diptera,5.587041692621938e-4,6.724550297120102e-4,7.398423125883464e-6,0.0025008005062028852,0.003010824846846414,2.8754845545698155e-5
8,2_Bee_Bee_Coleoptera_Coleoptera,6.624358081296461e-4,8.055275403052428e-4,9.482552893522523e-6,0.0026920468696034158,0.003270241508106193,3.6050345195305116e-5
8,2_Bee_Bee_Bee_Lepidoptera,9.50841747487804e-4,0.0012177375981683655,1.937154738868053e-5,0.0035430913078397866,0.004580354011853334,8.356208350251557e-5
8,2_Bee_Bee_Bee_Non-syrphids-diptera,0.0040910473171249994,0.005349558343533706,7.428648300130501e-5,0.013136232527603086,0.016870383039087593,2.223638764681587e-4
10,2_2_Bee_Coleoptera_Bee,3.0881594615301514e-4,3.701946959821551e-4,9.984065360294604e-6,0.0017865676106534989,0.0021486241703783503,5.161706413167091e-5
8,1_Bee_Bee_Coleoptera_Non-syrphids-diptera,0.0011974702406292198,0.001473314229787533,1.9429143037006555e-5,0.0037064924290200053,0.004597751632205961,6.35125870796497e-5
8,2_Bee_Bee_Bee_Coleoptera,7.01251229196875e-4,8.61174450914559e-4,1.1434596943144947e-5,0.0028809948243070484,0.003580076712794327,5.2078877195549195e-5
10,1_2_Bee_Bee_Bee,6.509179327571029e-4,8.110643241504758e-4,2.7820146110782176e-5,0.0018666426649559698,0.0023093353576604772,8.335591944575146e-5
4,2_Bee_Bee_Bee,0.0069980549062756215,0.03286451246056188,8.85689102118672e-4,0.016108266151317874,0.06974993798069881,0.002425576635044106
8,2_Bee_Bee_Bee_Non-bee-Hymenoptera,0.0012897968380801148,0.001635738205692925,1.630713747175256e-5,0.006153091178336942,0.007773725960233431,8.126988680396495e-5
8,1_Bee_Bee_Bee_Coleoptera,0.0011627377971584539,0.0014504158587066859,2.3278498551934785e-5,0.003745819783030562,0.0047302802217061915,9.036860647366048e-5
8,1_Bee_Bee_Coleoptera_Coleoptera,9.805771521338247e-4,0.001215677530436151,1.69892010967129e-5,0.0030877248710161997,0.0038520392524769237,5.634236279623737e-5
9,2_2_Bee_Bee_Bee,0.0030805765670781013,0.004728448784792654,1.364865537558382e-4,0.007450402856271823,0.01300296126817138,4.5877529882518153e-4
10,2_2_Bee_Non-syrphids-diptera_Bee,8.942796812004872e-4,0.0012192408175879855,3.2636510836117036e-5,0.002533455945034652,0.0035262802375095673,9.294925550310494e-5
10,1_2_Bee_Bee_Coleoptera,3.913595249574236e-4,4.7572355270695643e-4,1.077444271702682e-5,0.0015401545553743907,0.0018675818827200413,4.326148468383434e-5
9,1_2_Bee_Bee_Bee,0.0013296598231408963,0.0017772805816678337,3.7305059237306544e-5,0.0031644662479370003,0.0043389912930091815,8.189524942898796e-5
8,2_Bee_Coleoptera_Coleoptera_Coleoptera,2.6131355249610567e-4,3.154101772597649e-4,3.3747658379750894e-6,0.0013005777328179457,0.0015657806114077171,1.4601035401033506e-5
10,1_2_Bee_Coleoptera_Bee,4.437072692358724e-4,5.500231498707718e-4,1.3604614109115028e-5,0.0014967904969096569,0.0018421721234940477,4.2734164374361095e-5
8,2_Bee_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,6.764182169253081e-4,8.199317807469919e-4,6.143364548879119e-6,0.00245422410600691,0.002952858011411644,2.4858313856687223e-5
10,2_2_Bee_Bee_Bee,0.0014076846906280215,0.0021470802685335934,6.553426142739297e-5,0.0037083730897569866,0.006378137730748697,2.2764883748066723e-4
10,1_2_Bee_Coleoptera_Coleoptera,5.469625969594806e-4,6.756363382079265e-4,1.5395198737361506e-5,0.0023969158672746136,0.0029893019695855726,6.682846984294681e-5
