position,Node_FG,mean,SE,mean_natural_units
2,Bee,3.9613480767375506,0.21506557608686955,52.5280901369862
2,Birds,1.5105623586944383,0.44723391929709033,4.52927715665121
2,Coleoptera,2.293403419181347,0.36442277041301047,9.908603490425726
2,Lepidoptera,1.9515633846679519,0.3743976724353448,7.03968471712603
2,Lizards,1.8511832735653622,0.4410309290528064,6.367349382987204
2,Non-bee-Hymenoptera,2.016513371638839,0.3694140257542484,7.512087363061378
2,Non-syrphids-diptera,3.322366034158081,0.3547439346432012,27.725873376808767
2,Other_insects,0.8623427436331315,0.5804897333468654,2.3687034634842448
2,Syrphids,2.587747911438317,0.3578054469386758,13.299785555329935
4,Bee,5.276382356965909,0.5079246309675136,195.66076267176675
4,Birds,2.0993608044133647,0.9107547991698952,8.160951800674534
4,Coleoptera,2.5118876510359023,0.825381601965675,12.328179410912467
4,Lepidoptera,1.7434784581887204,0.859889857296621,5.717195901546021
4,Lizards,2.292584076452824,0.9198054490750889,9.900488273232119
4,Non-bee-Hymenoptera,2.0154546217790377,0.8180841344845347,7.504138150475333
4,Non-syrphids-diptera,3.521942111452723,0.7954346224878652,33.85010534456069
4,Other_insects,0.2466049158106074,1.4611900053027433,1.2796734341506137
4,Syrphids,2.8546003386854535,0.7931286255587078,17.367494704659688
6,Bee,6.00126648959305,0.33792749626741947,403.9400555469273
6,Birds,3.2472503724261554,0.5967333911158049,25.719523491433407
6,Coleoptera,4.40250843175364,0.5149423559066809,81.65543907848244
6,Lepidoptera,3.866913700628968,0.5276840779547853,47.7946496215517
6,Lizards,3.891242092034272,0.5970321546967805,48.9716760915757
6,Non-bee-Hymenoptera,4.128632157659963,0.5155190575761098,62.09293147986188
6,Non-syrphids-diptera,5.477655914176195,0.5124405986507791,239.2851445404885
6,Other_insects,2.848508747733839,0.7275398744343303,17.262020609741977
6,Syrphids,4.682642377790314,0.5079401125973281,108.05521838319261
8,Bee,7.643232475255904,0.49910071056773303,2086.477414227739
8,Birds,4.467913722219681,0.8327355911323799,87.1746626035861
8,Coleoptera,6.089550455395247,0.730529860764109,441.2230171289886
8,Lepidoptera,5.411087449281219,0.7466822168841947,223.87490796508317
8,Lizards,5.466215452646306,0.8352375324940315,236.56321182107266
8,Non-bee-Hymenoptera,5.7705974229268335,0.7301277904543074,320.72928645137495
8,Non-syrphids-diptera,7.189856872242849,0.7292662046131345,1325.9134170119776
8,Other_insects,4.384054447671351,1.0018733069372534,80.162389632055
8,Syrphids,6.34394930380679,0.7186550223657848,569.039188197605
11,Bee,6.457524605917846,0.5122156078414706,637.4810849449731
11,Birds,4.180005415403787,0.7734048703451013,65.36620719745746
11,Coleoptera,5.0783673889423335,0.6910904636098872,160.51178857565696
11,Lepidoptera,4.719594474245829,0.7036699691068761,112.12277477440381
11,Lizards,4.617516521027818,0.773804819185697,101.24228656674597
11,Non-bee-Hymenoptera,4.841214371857255,0.6945319801384853,126.62302584153393
11,Non-syrphids-diptera,6.149207118085405,0.6906856678769802,468.34589653679126
11,Other_insects,3.5783921986242735,0.9205672470501607,35.81590966090171
11,Syrphids,5.317714936608802,0.6858399990212323,203.91738505699516
12,Bee,7.772734967906155,0.6137315023344173,2374.957847537931
12,Birds,3.8561131908161683,1.1473308325680776,47.281220677479915
12,Coleoptera,4.609681154810326,1.0290564039823125,100.45211585581907
