Network_id,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
15_2_peralta_2006_mendoza_site_2,1,2,57,0.002631821959553052,1,1,0.12723214285714285
15_2_peralta_2006_mendoza_site_2,2,3,62,0.0028626835349524426,0.2857142857142857,1,0.018452380952380953
15_2_peralta_2006_mendoza_site_2,3,3,155,0.007156708837381107,0.7142857142857143,1,0.02562830687830688
15_2_peralta_2006_mendoza_site_2,4,4,374,0.01726844583987441,0.3936842105263158,1,0.007135225885225885
15_2_peralta_2006_mendoza_site_2,5,4,489,0.022578262074060395,0.5147368421052632,0.944015444015444,0.010780423280423281
15_2_peralta_2006_mendoza_site_2,6,4,29,0.001338997137316465,0.030526315789473683,0.055984555984555984,6.393298059964727e-4
15_2_peralta_2006_mendoza_site_2,7,4,58,0.00267799427463293,0.061052631578947365,1,0.003698979591836735
15_2_peralta_2006_mendoza_site_2,8,5,666,0.030750761843198818,0.16331535066208927,1,0.002032967032967033
15_2_peralta_2006_mendoza_site_2,9,5,1465,0.06764244159202143,0.3592447278077489,0.6099084096586178,0.0037265974765974767
15_2_peralta_2006_mendoza_site_2,10,5,637,0.029411764705882353,0.1562040215792055,0.26519567027477103,0.0016203703703703703
15_2_peralta_2006_mendoza_site_2,11,5,284,0.013112937482685381,0.06964198136341344,0.11823480432972523,7.224257224257224e-4
15_2_peralta_2006_mendoza_site_2,12,5,16,7.387570412780497e-4,0.00392349190779794,0.006661115736885929,4.07000407000407e-5
15_2_peralta_2006_mendoza_site_2,13,5,579,0.026733770431249422,0.14198136341343795,0.5944558521560575,0.0027352607709750566
15_2_peralta_2006_mendoza_site_2,14,5,280,0.012928248222365869,0.06866110838646396,0.2874743326488706,0.0013227513227513227
15_2_peralta_2006_mendoza_site_2,15,5,110,0.005078954658786591,0.026974006866110838,0.11293634496919917,5.196523053665911e-4
15_2_peralta_2006_mendoza_site_2,16,5,5,2.3086157539939053e-4,0.0012260912211868563,0.00513347022587269,2.362055933484505e-5
15_2_peralta_2006_mendoza_site_2,17,5,36,0.0016622033428756117,0.008827856792545365,1,7.06436420722135e-4
15_2_peralta_2006_mendoza_site_2,18,6,840,0.03878474466709761,0.05135730007336757,1,5.341880341880342e-4
15_2_peralta_2006_mendoza_site_2,19,6,2939,0.13570043401976176,0.17968941061384203,0.3932298635268932,0.0011961741961741962
15_2_peralta_2006_mendoza_site_2,20,6,2998,0.13842460060947456,0.18329664954756664,0.4011238961734011,0.0012201872201872202
15_2_peralta_2006_mendoza_site_2,21,6,720,0.03324406685751224,0.04402054292002935,0.09633395772009633,2.9304029304029304e-4
15_2_peralta_2006_mendoza_site_2,22,6,640,0.029550281651121987,0.03912937148447053,0.08563018464008564,2.6048026048026046e-4
15_2_peralta_2006_mendoza_site_2,23,6,171,0.007895465878659157,0.01045487894350697,0.02287931495852288,6.95970695970696e-5
15_2_peralta_2006_mendoza_site_2,24,6,6,2.7703389047926865e-4,3.6683785766691124e-4,8.027829810008028e-4,2.442002442002442e-6
15_2_peralta_2006_mendoza_site_2,25,6,1563,0.07216732846984948,0.09556126192223037,0.22665313225058004,8.519754055468341e-4
15_2_peralta_2006_mendoza_site_2,26,6,1333,0.06154769600147751,0.08149914404499878,0.19330046403712298,7.266047444618874e-4
15_2_peralta_2006_mendoza_site_2,27,6,1314,0.06067042201495983,0.08033749082905356,0.19054524361948955,7.162480376766091e-4
15_2_peralta_2006_mendoza_site_2,28,6,1059,0.048896481669590916,0.06474688187820983,0.15356728538283063,5.772501308215594e-4
15_2_peralta_2006_mendoza_site_2,29,6,1037,0.047880690737833596,0.06340180973343115,0.150377030162413,5.652581545438688e-4
15_2_peralta_2006_mendoza_site_2,30,6,240,0.011081355619170745,0.014673514306676448,0.03480278422273782,1.3082155939298797e-4
15_2_peralta_2006_mendoza_site_2,31,6,82,0.0037861298365500047,0.005013450721447787,0.011890951276102088,4.4697366125937554e-005
15_2_peralta_2006_mendoza_site_2,32,6,143,0.006602641056422569,0.008742968941061384,0.020736658932714615,7.794784580498866e-5
15_2_peralta_2006_mendoza_site_2,33,6,62,0.0028626835349524426,0.0037906578625580825,0.008990719257540603,3.379556950985523e-5
15_2_peralta_2006_mendoza_site_2,34,6,11,5.078954658786592e-4,6.725360723893372e-4,0.0015951276102088166,5.995988138845282e-6
15_2_peralta_2006_mendoza_site_2,35,6,38,0.001754547973035368,0.0023233064318904377,0.005510440835266821,2.071341357055643e-5
15_2_peralta_2006_mendoza_site_2,36,6,13,6.002400960384153e-4,7.948153582783077e-4,0.0018851508120649651,7.086167800453515e-6
15_2_peralta_2006_mendoza_site_2,37,6,1,4.6172315079878107e-5,6.113964294448521e-5,1.4501160092807424e-4,5.450898308041165e-7
15_2_peralta_2006_mendoza_site_2,38,6,420,0.019392372333548805,0.025678650036683785,0.3706972639011474,6.105006105006105e-4
15_2_peralta_2006_mendoza_site_2,39,6,498,0.022993812909779296,0.03044754218635363,0.43954104148278905,7.238792953078668e-4
15_2_peralta_2006_mendoza_site_2,40,6,107,0.004940437713546957,0.006541941795059917,0.09443954104148279,1.5553229838944125e-4
15_2_peralta_2006_mendoza_site_2,41,6,90,0.00415550835718903,0.005502567865003668,0.0794351279788173,1.3082155939298797e-4
15_2_peralta_2006_mendoza_site_2,42,6,18,8.311016714378059e-4,0.0011005135730007337,0.01588702559576346,2.6164311878597592e-5
15_2_peralta_2006_mendoza_site_2,43,6,0,0,0,0,0
15_2_peralta_2006_mendoza_site_2,44,6,13,6.002400960384153e-4,7.948153582783077e-4,1,1.0629251700680272e-4
6_1_inouye_1988_australia,1,2,244,1.2798193986002763e-4,1,1,0.07736207989854153
6_1_inouye_1988_australia,2,3,749,0.00039286259407852743,0.38808290155440417,1,0.012836552468765531
6_1_inouye_1988_australia,3,3,1181,6.194535695684124e-4,0.6119170984455958,1,0.00913280851261271
6_1_inouye_1988_australia,4,4,4979,0.002611565895750318,0.2708775365866928,1,0.0014260436411170283
6_1_inouye_1988_australia,5,4,9972,0.005230475017558178,0.5425167292312714,0.9354596622889306,0.004168357850093779
6_1_inouye_1988_australia,6,4,688,3.6086710911352053e-4,0.037429954844676566,0.06454033771106941,2.875882672347092e-4
6_1_inouye_1988_australia,7,4,2742,0.0014382232749844087,0.14917577933735923,1,0.003916091106959845
6_1_inouye_1988_australia,8,5,18839,0.00988135969271746,0.10451884934394852,1,2.6978546048407007e-4
