"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Clusters"
"Abelmoschus manihot","Hermaphrodite","self_compatible","high",2.24587439450366,"Open","actinomorphic",-0.228455341825184,-0.164819631826118,-0.615134897006183,-0.0818324230066912,-0.32123710608496,-0.0678987135413241,-0.0644107823996796,"shrub","Perennial",-0.100755591055861,1
"Abutilon depauperatum","Hermaphrodite","self_compatible","high",2.24587439450366,"Campanulate","actinomorphic",-0.228455341825184,-0.155137227597058,-0.59282468890153,-0.033134812799664,0.236167225021328,-0.289155899104965,-0.110873795872248,"shrub","Perennial",-0.174592204016666,1
"Abutilon theophrasti","Hermaphrodite","self_compatible","high",2.24587439450366,"Open","actinomorphic",-0.228455341825184,-0.155137227597058,-0.648600209163163,-0.154878838317232,-0.497259526434314,-0.289155899104965,-0.108395768487044,"herb","Short lived",-0.322265429938276,1
"Acacia dealbata","Hermaphrodite","partially_self_compatible","low",-0.830183771643204,"Brush","actinomorphic",7.23790177085871,0.19584992570637,-0.0350694862851946,-0.483587707214666,-0.306568571055847,-0.344470195495875,-0.121405412259363,"tree","Perennial",1.81899634592507,2
"Acacia insulae-iacobi","Hermaphrodite","self_incompatible","none",-0.844229699342505,"Tube","actinomorphic",0.340574184083751,-0.155137227597058,-0.0350694862851946,0.00523986144550257,-0.520729182480895,-0.344470195495875,-0.122024919105664,"tree","Perennial",0.785283764473798,3
"Acacia rorudiana","Hermaphrodite","self_incompatible","none",-0.844229699342505,"Tube","actinomorphic",0.340574184083751,-0.118828211738082,-0.0350694862851946,-0.471413304662909,-0.506060647451782,0.0427298792404962,-0.11954689172046,"shrub","Perennial",0.224125505971681,3
"Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",-0.844229699342505,"Tube","actinomorphic",0.915351482981664,-0.0462101800201317,-0.392032815959649,-0.471413304662909,-0.467922456376089,-0.399784491886785,-0.128219987568673,"shrub","Perennial",-0.396102042899081,3
"Acer carpinifolium","Dioecious","dioecious","none",-0.844229699342505,"Open","actinomorphic",2.06490608077749,0.0748198728431192,-0.0350694862851946,-0.320450713021124,-0.520729182480895,-0.510413084668605,-0.126980973876071,"tree","Perennial",1.22830344223863,4
"Acer caudatifolium","Hermaphrodite","dioecious","none",-0.844229699342505,"Open","actinomorphic",0.340574184083751,-0.130931217024407,-0.481273648378263,-0.520110914869936,-0.350574176143186,-0.621041677450426,-0.124502946490868,"tree","Perennial",1.11016486150134,4
"Acer negundo","Dioecious","dioecious","none",-0.844229699342505,"Open","actinomorphic",1.49012878187958,-0.130931217024407,-0.481273648378263,-0.49089234874572,-0.344706762131541,0.00400987176685918,-0.126980973876071,"tree","Perennial",1.67132312000346,4
