Network_id,Motif_pattern_id,Motif_functional_ID,Counts,nodes,Plant_nodes,Pollinator_nodes,Total_plants,Total_pollinators,Total_motifs,normalize_sum,Total_sizeclass,normalize_sizeclass,Total_nodesets,normalize_nodesets
1_1_bartomeus_spain_2008_batca_1_2,1,1_Bee,1,2,1,1,4,5,185,0.005405405405405406,14,0.07142857142857142,20,0.05
1_1_bartomeus_spain_2008_batca_1_2,1,1_Coleoptera,1,2,1,1,4,5,185,0.005405405405405406,14,0.07142857142857142,20,0.05
1_1_bartomeus_spain_2008_batca_1_2,1,1_Non-syrphids-diptera,1,2,1,1,4,5,185,0.005405405405405406,14,0.07142857142857142,20,0.05
1_1_bartomeus_spain_2008_batca_1_2,1,2_Bee,1,2,1,1,4,5,185,0.005405405405405406,14,0.07142857142857142,20,0.05
1_1_bartomeus_spain_2008_batca_1_2,1,2_Coleoptera,1,2,1,1,4,5,185,0.005405405405405406,14,0.07142857142857142,20,0.05
1_1_bartomeus_spain_2008_batca_1_2,1,2_Non-bee-Hymenoptera,1,2,1,1,4,5,185,0.005405405405405406,14,0.07142857142857142,20,0.05
1_1_bartomeus_spain_2008_batca_1_2,1,2_Non-syrphids-diptera,1,2,1,1,4,5,185,0.005405405405405406,14,0.07142857142857142,20,0.05
1_1_bartomeus_spain_2008_batca_1_2,1,3_Non-bee-Hymenoptera,1,2,1,1,4,5,185,0.005405405405405406,14,0.07142857142857142,20,0.05
1_1_bartomeus_spain_2008_batca_1_2,1,3_Non-syrphids-diptera,1,2,1,1,4,5,185,0.005405405405405406,14,0.07142857142857142,20,0.05
1_1_bartomeus_spain_2008_batca_1_2,1,5_Bee,1,2,1,1,4,5,185,0.005405405405405406,14,0.07142857142857142,20,0.05
1_1_bartomeus_spain_2008_batca_1_2,1,5_Coleoptera,1,2,1,1,4,5,185,0.005405405405405406,14,0.07142857142857142,20,0.05
1_1_bartomeus_spain_2008_batca_1_2,1,5_Lepidoptera,1,2,1,1,4,5,185,0.005405405405405406,14,0.07142857142857142,20,0.05
