"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"Cynoglossum amabile","Boraginales","Boraginaceae","Cynoglossum","Cynoglossum amabile","Hermaphrodite","self_compatible","low",22.27335,"Open","actinomorphic",30,30,24,6,2,4,4,"herb","Short lived",0.375
"Cynoglossum officinale","Boraginales","Boraginaceae","Cynoglossum","Cynoglossum officinale","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",50,50,30,6,5.3,1,4,"herb","Short lived",0.5
"Cypripedium parviflorum pubescens","Asparagales","Orchidaceae","Cypripedium","Cypripedium parviflorum","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",50,1,4.2,4.2,73,0.1,25000,"herb","Perennial",0.46
"Cyrilla racemiflora","Ericales","Cyrillaceae","Cyrilla","Cyrilla racemiflora","Hermaphrodite","self_incompatible","low",0.02,"Open","actinomorphic",16000,400,30,5,1,2,3,"tree","Perennial",4.1
"Cytisus scoparius","Fabales","Fabaceae","Cytisus","Cytisus scoparius","Hermaphrodite","partially_self_compatible","low",1,"Papilionaceous","zygomorphic",500,20,64,16,20,10,13,"shrub","Perennial",2.5
"Petalostemum purpureum","Fabales","Fabaceae","Dalea","Dalea purpurea","Hermaphrodite","partially_self_compatible","low",1,"Papilionaceous","zygomorphic",10500,130,25,4,3.1,8.5,2,"herb","Perennial",0.45
"Darwiniothamnus lancifolius","Asterales","Asteraceae","Darwiniothamnus","Darwiniothamnus lancifolius","Hermaphrodite","self_compatible","low",20.11145,"Capitulum","actinomorphic",500,10,10,10,5,5,60,"shrub","Perennial",2
"Darwiniothamnus tenuifolius","Asterales","Asteraceae","Darwiniothamnus","Darwiniothamnus tenuifolius","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",300,6,16.5,16.5,6.89305,5,60,"shrub","Perennial",5
"Potentilla fruticosa","Rosales","Rosaceae","Dasiphora","Dasiphora fruticosa","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",80,2,19.1,19.1,2.5,2,88,"shrub","Perennial",1.65
"Seymeria macrophylla","Lamiales","Orobanchaceae","Dasistoma","Dasistoma macrophylla","Hermaphrodite","self_compatible","low",16.2211,"Tube","zygomorphic",30,5,10.1,10.1,13.1,3,50.99965,"herb","Perennial",1.2
"Datura stramonium","Solanales","Solanaceae","Datura","Datura stramonium","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",10,2,40,40,75,50,80,"herb","Short lived",1.25
"Daucus carota","Apiales","Apiaceae","Daucus","Daucus carota","Monoecious","self_compatible","none",0,"Open","zygomorphic",650,650,80,5.5,1.5,1.15,2,"herb","Short lived",0.5
"Deckenia nobilis","Arecales","Arecaceae","Deckenia","Deckenia nobilis","Monoecious","monoecious","none",0,"Spike","actinomorphic",50000,12500,600,1,1,0.5,2000,"tree","Perennial",19.1
"Declieuxia fruticosa","Gentianales","Rubiaceae","Declieuxia","Declieuxia fruticosa","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",175,175,60,5.5,3.5,4.35,2,"shrub","Perennial",0.785
"Delphinium delavayi","Ranunculales","Ranunculaceae","Delphinium","Delphinium delavayi","Hermaphrodite","self_compatible","low",12.9473,"Tube","zygomorphic",15,15,100,27.5,50,2.5,14,"herb","Perennial",0.775
"Delphinium tricorne","Ranunculales","Ranunculaceae","Delphinium","Delphinium tricorne","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",30,30,90,35,35,15,42,"herb","Perennial",0.225
"Dendropanax trifidus","Apiales","Araliaceae","Dendropanax","Dendropanax trifidus","Dioecious","self_compatible","low",11.1015,"Open","actinomorphic",2500,40,10,1.1,2,0.875,12,"tree","Perennial",7
"Sisymbrium canescens","Brassicales","Brassicaceae","Descurainia","Descurainia pinnata","Hermaphrodite","self_compatible","high",75,"Open","actinomorphic",35,10,30,3,1.5,0.11,28,"herb","Short lived",0.375
"Desmanthus virgatus","Fabales","Fabaceae","Desmanthus","Desmanthus virgatus","Hermaphrodite","self_compatible","medium",50.5,"Campanulate","actinomorphic",50,30,10,1,2.75,3.15,7,"shrub","Perennial",1
"Desmodium barbatum","Fabales","Fabaceae","Desmodium","Desmodium barbatum","Hermaphrodite","self_compatible","medium",31.25,"Papilionaceous","zygomorphic",300,30,20,4.5,6,2,7,"herb","Short lived",0.5
"Desmodium canadense","Fabales","Fabaceae","Desmodium","Desmodium canadense","Hermaphrodite","self_compatible","low",16.0798,"Papilionaceous","zygomorphic",50,15,20,11,11,2,7,"herb","Perennial",1.35
"Desmodium canescens","Fabales","Fabaceae","Desmodium","Desmodium canescens","Hermaphrodite","self_compatible","high",90,"Papilionaceous","zygomorphic",50,50,20,9.1,9.1,2,7,"herb","Perennial",1.05
"Desmodium bracteosum","Fabales","Fabaceae","Desmodium","Desmodium cuspidatum","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",40,40,20,8,8,2,7,"herb","Perennial",0.6
"Desmodium dillenii","Fabales","Fabaceae","Desmodium","Desmodium dillenii","Hermaphrodite","self_compatible","low",14.2648,"Papilionaceous","zygomorphic",60,60,20,7,7,2,7,"herb","Perennial",0.5
"Desmodium grandiflorum","Fabales","Fabaceae","Desmodium","Desmodium grandiflorum","Hermaphrodite","self_compatible","low",14.3841,"Papilionaceous","zygomorphic",80,80,20,4.5,8,2,7,"herb","Perennial",0.5
"Desmodium podocarpum","Fabales","Fabaceae","Desmodium","Desmodium hookerianum","Hermaphrodite","self_compatible","low",15.18335,"Papilionaceous","zygomorphic",80,80,15,2,3.75,0.5,10,"shrub","Perennial",0.9
"Desmodium illinoense","Fabales","Fabaceae","Desmodium","Desmodium illinoense","Hermaphrodite","self_compatible","low",16.77845,"Papilionaceous","zygomorphic",90,15,20,8,8,2,7,"herb","Perennial",1.5
"Desmodium marilandicum","Fabales","Fabaceae","Desmodium","Desmodium marilandicum","Hermaphrodite","self_compatible","low",15.58995,"Papilionaceous","zygomorphic",80,80,20,1.1,5,2,7,"herb","Perennial",1
"Desmodium paniculatum","Fabales","Fabaceae","Desmodium","Desmodium paniculatum","Hermaphrodite","self_compatible","low",15.17935,"Papilionaceous","zygomorphic",80,8,20,6,5.1,2,5,"herb","Perennial",0.85
"Desmodium sessilifolium","Fabales","Fabaceae","Desmodium","Desmodium sessilifolium","Hermaphrodite","self_compatible","low",16.04175,"Papilionaceous","zygomorphic",80,15,20,4.3,6,1,4,"herb","Perennial",1.05
"Deutzia crenata","Cornales","Hydrangeaceae","Deutzia","Deutzia crenata","Hermaphrodite","partially_self_compatible","low",8.91475,"Campanulate","actinomorphic",1600,60,45,14.1,8,8,34.38235,"shrub","Perennial",2.5
"Deutzia maximowicziana","Cornales","Hydrangeaceae","Deutzia","Deutzia maximowicziana","Hermaphrodite","partially_self_compatible","low",8.82635,"Campanulate","actinomorphic",1600,60,50,17.5,1.35,8,149.352566666667,"shrub","Perennial",2.5
"Deutzia naseana","Cornales","Hydrangeaceae","Deutzia","Deutzia naseana","Hermaphrodite","self_compatible","low",11.4522791666667,"Campanulate","actinomorphic",1600,60,75,14.1,15,7.7,49.8956,"shrub","Perennial",1
"Dianthus armeria","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus armeria","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",15,2,10.5,10.5,10,10,93,"herb","Short lived",0.45
"Dianthus caryophillus","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus caryophyllus","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",15,2,45,45,25.3787,10,97.5,"herb","Perennial",0.4
"Diapensia lapponica","Ericales","Diapensiaceae","Diapensia","Diapensia lapponica","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",50,1,14.1,14.1,9.1,3,240,"shrub","Perennial",0.04
"Dicentra cucullaria","Ranunculales","Papaveraceae","Dicentra","Dicentra cucullaria","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",30,5,15,15,17.5,2.1,6,"herb","Perennial",0.2
"Digitalis purpurea","Lamiales","Plantaginaceae","Digitalis","Digitalis purpurea","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","zygomorphic",40,40,120,32,45,36.5,264,"herb","Short lived",0.7
"Digitaria ciliaris","Poales","Poaceae","Digitaria","Digitaria ciliaris","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",400,400,0.8,0.8,2.1,0.1,1,"herb","Short lived",0.55
"Digomphia laurifolia","Lamiales","Bignoniaceae","Digomphia","Digomphia laurifolia","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",10,3,40,40,40,35,119.083866666667,"herb","Perennial",0.917674166666667
"Dillenia ferruginea","Dilleniales","Dilleniaceae","Dillenia","Dillenia ferruginea","Hermaphrodite","partially_self_compatible","low",7.87965833333333,"Open","actinomorphic",50,5,50,50,55,4.5,12,"tree","Perennial",12
"Dillenia suffruticosa","Dilleniales","Dilleniaceae","Dillenia","Dillenia suffruticosa","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",800,15,110,110,42.0065166666667,10,57.5,"shrub","Perennial",8
"Diodia radula","Gentianales","Rubiaceae","Diodella","Diodella radula","Monoecious","monoecious","none",0,"Tube","actinomorphic",60,5,30,5,8,7,24.409,"herb","Perennial",0.8
"Diospyrus japonica","Ericales","Ebenaceae","Diospyros","Diospyros japonica","Monoecious","monoecious","none",0,"Tube","actinomorphic",3500,100,30,5.2,8.75,2,8,"tree","Perennial",8.5
"Diospyros revaughanii","Ericales","Ebenaceae","Diospyros","Diospyros revaughanii","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,119.5525,15,7.1,7,2,8,"tree","Perennial",10
"Diospyros seychellarum","Ericales","Ebenaceae","Diospyros","Diospyros seychellarum","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,161.509523809524,15,5.12580000000001,5,2,8,"shrub","Perennial",5
"Diospyros virginiana","Ericales","Ebenaceae","Diospyros","Diospyros virginiana","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,100,20,11,12,1,8,"tree","Perennial",7.5
"Diplotaxis virgata","Brassicales","Brassicaceae","Diplotaxis","Diplotaxis virgata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",100,8,30,10,5,2,2,"herb","Short lived",0.65
"Dipsacus asperoides","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus asperoides","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,75,25,4,10,10,1,"herb","Perennial",1
"Dipsacus chinensis","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus chinensis","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,80,30,5,12.5,10,1,"herb","Perennial",1
"Dipsacus sylvestris","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus fullonum","Hermaphrodite","self_compatible","low",13,"Funnelform","actinomorphic",600,300,50,50,12.5,6,1,"herb","Short lived",1
"Dipsacus japonicus","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus japonicus","Hermaphrodite","self_compatible","low",17.2877833333333,"Tube","actinomorphic",1500,40,30,3.25,6.5,6.5,1,"herb","Short lived",0.75
"Dipyrena_glaberrima","Lamiales","Verbenaceae","Dipyrena","Dipyrena glaberrima","Hermaphrodite","self_compatible","low",12.8890166666667,"Tube","actinomorphic",100,15,60,15,25,25,4,"shrub","Perennial",1
"Dirca palustris","Malvales","Thymelaeaceae","Dirca","Dirca palustris","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",500,5,10,2.15,9.5,10,1,"shrub","Perennial",1
"Discaria toumatou","Rosales","Rhamnaceae","Discaria","Discaria toumatou","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",8000,10,20,4,1,1,3,"shrub","Perennial",2.5
"Dodonaea viscosa","Sapindales","Sapindaceae","Dodonaea","Dodonaea viscosa","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,20,50,8,4,5,3,"shrub","Perennial",2.5
"Senecio scorzoneroides","Asterales","Asteraceae","Dolichoglottis","Dolichoglottis scorzoneroides","Hermaphrodite","self_compatible","low",17.362025,"Capitulum","actinomorphic",15,5,50,50,9.1,1.5,100,"herb","Perennial",0.25
"Donatia novae-zelandiae","Asterales","Stylidiaceae","Donatia","Donatia novae-zelandiae","Hermaphrodite","self_compatible","low",16.1574,"Open","actinomorphic",100,1,9,9,5.5,2,6,"herb","Perennial",0.25
"Doratoxylon apetalum","Sapindales","Sapindaceae","Doratoxylon","Doratoxylon apetalum","Dioecious","dioecious","none",0,"Open","actinomorphic",30000,250,10,2.5,1,0.1,6,"tree","Perennial",7.5
"Dorichnium pentaphylum","Fabales","Fabaceae","Dorycnium","Dorycnium pentaphyllum","Hermaphrodite","self_compatible","low",16.0756,"Tube","zygomorphic",2500,35,10,3.5,4.5,4,33,"herb","Perennial",0.3
"Draba arctica","Brassicales","Brassicaceae","Draba","Draba arctica","Hermaphrodite","self_compatible","high",92,"Open","actinomorphic",25,4,20,8,4,1.05,20.2,"herb","Perennial",0.2
"Draba lactea","Brassicales","Brassicaceae","Draba","Draba lactea","Hermaphrodite","self_compatible","medium",50,"Open","actinomorphic",20,5,24,8,4,0.25,22,"herb","Perennial",0.125
"Draba yunnanensis","Brassicales","Brassicaceae","Draba","Draba yunnanensis","Hermaphrodite","self_compatible","low",13.9520666666667,"Tube","actinomorphic",50,5,40,11.1,9,1.2,8,"herb","Perennial",0.325
"Dracaena concinna","Asparagales","Asparagaceae","Dracaena","Dracaena concinna","Hermaphrodite","self_compatible","low",11.3581125,"Open","actinomorphic",2000,1000,300,22.9373,14.0200833333333,14,4.5,"shrub","Perennial",2.5
"Dracaena reflexa","Asparagales","Asparagaceae","Dracaena","Dracaena reflexa","Hermaphrodite","self_compatible","low",13.9546625,"Tube","actinomorphic",1000,500,300,23.005,30,14,4.5,"tree","Perennial",1.5
"Dracocephalum forrestii","Lamiales","Lamiaceae","Dracocephalum","Dracocephalum forrestii","Hermaphrodite","self_compatible","low",14.2730166666667,"Tube","zygomorphic",15,15,50,12.5,26.5,26.5,4,"herb","Perennial",0.205
"Dracuphyllum acerosum","Ericales","Ericaceae","Dracophyllum","Dracophyllum acerosum","Hermaphrodite","self_compatible","low",15.9551230769231,"Tube","actinomorphic",500,5,20,3.1,6.1,3,176,"shrub","Perennial",1.5
"Dracophyllum pronum","Ericales","Ericaceae","Dracophyllum","Dracophyllum pronum","Hermaphrodite","self_compatible","low",18.6784,"Tube","actinomorphic",100,10,20,3.5,4,1.25,176,"shrub","Perennial",0.13
"Drapetes dieffenbachii","Malvales","Thymelaeaceae","Drapetes","Drapetes dieffenbachii","Hermaphrodite","self_compatible","low",17.0353083333333,"Tube","actinomorphic",100,3,15,3,1.5,1,1,"shrub","Perennial",0.2
"Dryas integrifolia","Rosales","Rosaceae","Dryas","Dryas integrifolia","Hermaphrodite","self_compatible","low",13.83315,"Open","actinomorphic",50,1,25,25,9,4,30,"shrub","Perennial",0.1
"Dryas octopetala","Rosales","Rosaceae","Dryas","Dryas octopetala","Monoecious","self_incompatible","none",0,"Open","actinomorphic",50,1,30,30,6,20,59.67,"shrub","Perennial",0.075
"Dubyaea bhotanica","Asterales","Asteraceae","Dubyaea","Dubyaea bhotanica","Hermaphrodite","self_compatible","low",21.0027666666667,"Capitulum","actinomorphic",5,3,10.5,10.5,10,2.5,45,"herb","Perennial",0.3
"Duchesnea chrysantha","Rosales","Rosaceae","Duchesnea","Duchesnea chrysantha","Hermaphrodite","self_compatible","low",15.6280166666667,"Open","actinomorphic",20,1,10,10,5,1,1,"herb","Perennial",0.4
"Brauneria pallida","Asterales","Asteraceae","Echinacea","Echinacea pallida","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,1,57,57,69,9,65.5,"herb","Perennial",0.6
"Brauneria purpurea","Asterales","Asteraceae","Echinacea","Echinacea purpurea","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","zygomorphic",1,1,14,14,55,4.5,65.5,"herb","Perennial",0.9
"Echinocystis lobata","Cucurbitales","Cucurbitaceae","Echinocystis","Echinocystis lobata","Monoecious","monoecious","none",0,"Open","actinomorphic",750,30,40,12.5,5.93145833333334,1,6,"vine","Short lived",4
"Trichocereus candicans","Caryophyllales","Cactaceae","Echinopsis","Echinopsis candicans","Hermaphrodite","self_compatible","medium",50,"Campanulate","actinomorphic",5,1,205,205,136.067266666667,20,2203,"shrub","Perennial",2
"Echinopsis rhodotricha","Caryophyllales","Cactaceae","Echinopsis","Echinopsis rhodotricha","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",5,1,112,112,167,5.5,2203,"shrub","Perennial",0.2
"Trichocereus_strigosus","Caryophyllales","Cactaceae","Echinopsis","Echinopsis strigosa","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",5,1,142.5,142.5,195,15,2203,"shrub","Perennial",0.3
"Echium plantagineum","Boraginales","Boraginaceae","Echium","Echium plantagineum","Hermaphrodite","self_incompatible","low",0,"Tube","zygomorphic",30,3,100,23.1,25,35,4,"herb","Perennial",0.8
"Equium sabulicola","Boraginales","Boraginaceae","Echium","Echium sabulicola","Hermaphrodite","self_compatible","low",19.44135,"Tube","zygomorphic",100,10,6,6,17,20,4,"herb","Short lived",0.75
"Elaeagnus_angustifolia","Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus angustifolia","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",25000,200,30,9.9,7.5,7.5,1,"tree","Perennial",3
"Elaeocarpus japonicus","Oxalidales","Elaeocarpaceae","Elaeocarpus","Elaeocarpus japonicus","Hermaphrodite","partially_self_compatible","low",10.911975,"Campanulate","actinomorphic",5000,80,100,4,4,3,35,"tree","Perennial",12.5
"Elaeocarpus sylvestris","Oxalidales","Elaeocarpaceae","Elaeocarpus","Elaeocarpus sylvestris","Hermaphrodite","self_compatible","low",13.2484125,"Open","actinomorphic",5000,100,200,9.1,5,2,35,"tree","Perennial",7.5
"Aetheorrina bulbosa","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,5,20,20,5,6,15,"herb","Perennial",0.45
"Ellisia nyctelaea","Boraginales","Boraginaceae","Ellisia","Ellisia nyctelea","Hermaphrodite","self_compatible","medium",52.02405,"Tube","actinomorphic",5,5,5,5,6.1,3,4,"herb","Short lived",0.2
"Elsholtzia densa","Lamiales","Lamiaceae","Elsholtzia densa","Elsholtzia densa","Hermaphrodite","self_compatible","low",23.8262333333333,"Tube","zygomorphic",400,80,10,1.1,2.5,5,4,"herb","Short lived",0.4
"Embelia angustifolia","Ericales","Primulaceae","Embelia","Embelia angustifolia","Hermaphrodite","self_compatible","low",10.7516,"Open","actinomorphic",2000,30,50,4,2,1,1,"shrub","Perennial",2.40105
"Empetrum nigrum","Ericales","Ericaceae","Empetrum","Empetrum nigrum","Dioecious","dioecious","none",0,"Open","actinomorphic",500,10,12,2,3,0.3,4.5,"shrub","Perennial",0.2
"Encelia hispida","Asterales","Asteraceae","Encelia","Encelia hispida","Hermaphrodite","self_compatible","low",18.9766,"Capitulum","actinomorphic",5,3,9,9,8.63629166666666,1.5,70,"shrub","Perennial",0.8
"Isopyrum biternatum","Ranunculales","Ranunculaceae","Enemion","Enemion biternatum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",80,3,15.5,15.5,1.5,2,24,"herb","Perennial",0.25
"Epacris microphylla","Ericales","Ericaceae","Epacris","Epacris microphylla","Hermaphrodite","partially_self_compatible","low",12.6421,"Open","actinomorphic",1500,40,25,7.5,2.75,0.8,77.5,"shrub","Perennial",0.75
"Epacris petrophila","Ericales","Ericaceae","Epacris","Epacris petrophila","Hermaphrodite","partially_self_compatible","low",13.5553,"Open","actinomorphic",1500,15,25,3.8,1.55,0.45,77.5,"shrub","Perennial",0.45
"Epidendrum ibaguense","Asparagales","Orchidaceae","Epidendrum","Epidendrum ibaguense","Hermaphrodite","partially_self_compatible","none",0,"Tube","zygomorphic",200,10,20,16.9466,28.44455,0.1,25000,"herb","Perennial",1.972925
"Chamaenerium angustifolium","Myrtales","Onagraceae","Epilobium","Epilobium angustifolium","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",40,40,105,35,5,15,593,"herb","Perennial",0.3
"Epilobium gunnianum","Myrtales","Onagraceae","Epilobium","Epilobium gunnianum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,5,11.5,11.5,2,7,593,"herb","Perennial",0.4
"Epilobium hirsutum","Myrtales","Onagraceae","Epilobium","Epilobium hirsutum","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",40,40,20,20,10,8,593,"herb","Perennial",1.375
"Epilobium latifolium","Myrtales","Onagraceae","Epilobium","Epilobium latifolium","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",15,15,135,45,7.5,6,593,"herb","Perennial",1.56
"Epilobium tibetanum","Myrtales","Onagraceae","Epilobium","Epilobium tibetanum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,1,18,18,11,3.15,593,"herb","Perennial",0.565
"Epistephium duckei","Asparagales","Orchidaceae","Epistephium","Epistephium duckei","Hermaphrodite","self_compatible","high",100,"Open","zygomorphic",5,5,60,60,60,0.1,25000,"herb","Perennial",1.5
"Erechthites hieracifolia","Asterales","Asteraceae","Erechtites","Erechtites hieracifolia","Hermaphrodite","self_compatible","low",20.3928666666667,"Capitulum","actinomorphic",30,30,30,8.5,25.5,2,100,"herb","Short lived",1.5
"Erica ciliaris","Ericales","Ericaceae","Erica","Erica ciliaris","Hermaphrodite","self_compatible","low",1,"Tube","actinomorphic",50,10,16,3.1,8,8.5,120,"shrub","Perennial",0.6
"Erica scoparia","Ericales","Ericaceae","Erica","Erica scoparia","Hermaphrodite","partially_self_compatible","medium",31,"Campanulate","actinomorphic",2500,100,10,2.2,2.4,1.45,12.5,"shrub","Perennial",2.1
"Erica tetralix","Ericales","Ericaceae","Erica","Erica tetralix","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",15,15,3.5,3.5,6.3,3.5,100,"herb","Perennial",1
"Erica umbellata","Ericales","Ericaceae","Erica","Erica umbellata","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",1000,10,13.5,4.4,4.8,5,77.5,"shrub","Perennial",0.6
"Erigenia bulbosa","Apiales","Apiaceae","Erigenia","Erigenia bulbosa","Hermaphrodite","self_compatible","low",18.305175,"Open","actinomorphic",15,15,18,6.1,2.6,1.5,2,"herb","Perennial",0.15
"Erigeron annuus","Asterales","Asteraceae","Erigeron","Erigeron annuus","Hermaphrodite","self_compatible","low",21.0524,"Capitulum","zygomorphic",15,15,31.12,31.12,8,2.2,300,"herb","Short lived",1.5
"Erigeron canadensis","Asterales","Asteraceae","Erigeron","Erigeron canadensis","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",200,200,3.25,3.25,3.5,2.25,45,"herb","Short lived",0.75
"Erigeron compositus","Asterales","Asteraceae","Erigeron","Erigeron compositus","Hermaphrodite","self_compatible","none",0,"Capitulum","actinomorphic",30,1,12.5,12.5,8.5,3.5,80,"herb","Perennial",0.05
"Erigeron ramosus","Asterales","Asteraceae","Erigeron","Erigeron divergens","Hermaphrodite","self_compatible","medium",63.849425,"Capitulum","actinomorphic",10,1,23.1,23.1,2.1,3.75,300,"herb","Short lived",0.6
"Erigeron eriocephalus","Asterales","Asteraceae","Erigeron","Erigeron eriocephalus","Hermaphrodite","self_compatible","low",16.8206,"Capitulum","actinomorphic",3,1,12.5,12.5,12.5,3.75,200,"herb","Perennial",0.15
"Erigeron philadelphicus","Asterales","Asteraceae","Erigeron","Erigeron philadelphicus","Hermaphrodite","self_compatible","medium",61.639425,"Capitulum","actinomorphic",15,4,35,35,2.85,3.75,400,"herb","Short lived",0.45
"Erigeron pulchellus","Asterales","Asteraceae","Erigeron","Erigeron pulchellus","Hermaphrodite","self_compatible","low",17.8669166666667,"Capitulum","actinomorphic",3,3,27.5,27.5,5.1,3.75,200,"herb","Perennial",0.3
"Eriobotrya japonica","Rosales","Rosaceae","Eriobotrya","Eriobotrya japonica","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",4000,25,50,9.1,5,3.25,10,"tree","Perennial",6.75
"Eriopsis biloba","Asparagales","Orchidaceae","Eriopsis","Eriopsis biloba","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",35,35,100,24,8,0.1,25000,"herb","Perennial",0.125
"Erodium_cicatarium","Geraniales","Geraniaceae","Erodium","Erodium cicutarium","Hermaphrodite","self_compatible","high",82.8,"Open","actinomorphic",5,5,25,10,3.5,1,5,"herb","Short lived",0.45
"Astragalus lusitanicus","Fabales","Fabaceae","Erophaca","Erophaca baetica","Monoecious","self_compatible","low",11.63065,"Papilionaceous","zygomorphic",300,75,90,30,14.1,14,9.6,"herb","Perennial",0.5
"Eryngium campestre","Apiales","Apiaceae","Eryngium","Eryngium campestre","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",20,20,10,1.5,2.5,5,2,"herb","Perennial",0.3
"Eryngium yuccifolium","Apiales","Apiaceae","Eryngium","Eryngium yuccifolium","Hermaphrodite","partially_self_compatible","none",0,"Capitulum","actinomorphic",20,20,17.5,17.5,17.5,10,50,"herb","Perennial",1.05
"Erysimum pallasii","Brassicales","Brassicaceae","Erysimum","Erysimum redowskii","Hermaphrodite","self_compatible","high",100,"Tube","actinomorphic",40,10,30,6,6,11.5,34.7,"herb","Short lived",0.16
"Erythronium albidum","Liliales","Liliaceae","Erythronium","Erythronium albidum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",1,1,25,25,24.1,19.1,34.7,"herb","Perennial",0.15
"Erythrospermum monticolum","Malpighiales","Achariaceae","Erythrospermum","Erythrospermum monticolum","Hermaphrodite","partially_self_compatible","low",7.01765,"Open","actinomorphic",5195.55856589147,40,30,5.81925,2.89230416666667,1,4,"tree","Perennial",4.5
"Erythroxylum macrocarpum","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum macrocarpum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,6.5,3.2078375,1.4,3,"shrub","Perennial",4
"Erythroxylum sechellarum","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"Monimiastrum globosum","Myrtales","Myrtaceae","Eugenia","Eugenia kanakana","Hermaphrodite","partially_self_compatible","low",8.9788,"Brush","actinomorphic",200,5,40,12.55475,6.9971,3.5,30,"shrub","Perennial",4.5
"Eugenia orbiculata","Myrtales","Myrtaceae","Eugenia","Eugenia orbiculata","Hermaphrodite","partially_self_compatible","low",8.58790833333334,"Open","actinomorphic",200,5,40,10,5.94675416666667,3.5,40,"tree","Perennial",4.5
"Eulophus americanus","Apiales","Apiaceae","Eulophus","Eulophus americanus","Hermaphrodite","self_compatible","low",19.0347,"Open","actinomorphic",250,250,250,3,0.75,0.5,2,"herb","Perennial",0.5
"Euonymus alatus","Celastrales","Celastraceae","Euonymus","Euonymus alatus","Hermaphrodite","self_compatible","low",12.0619166666667,"Open","actinomorphic",2000,50,45,9,1,0.5,7,"shrub","Perennial",1
