"","Species_all","Plant_species","guild","Id","Interaction","Z_scores","Order_all","Family_all","Genus_all","Breeding_system.x","IMPUTED_Compatibility.x","Autonomous_selfing_level.x","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set.x","Flower_morphology.x","Flower_symmetry.x","Flowers_per_plant.x","Flowers_per_inflorescence.x","Floral_unit_width.x","Corolla_diameter_mean.x","Corolla_length_mean.x","STYLE_IMPUTED.x","OVULES_IMPUTED.x","life_form.x","lifespan.x","IMPUTED_plant_height_mean_m.x","Breeding_system.y","IMPUTED_Compatibility.y","Autonomous_selfing_level.y","Autonomous_selfing_level_fruit_set.y","Flower_morphology.y","Flower_symmetry.y","Flowers_per_plant.y","Flowers_per_inflorescence.y","Floral_unit_width.y","Corolla_diameter_mean.y","Corolla_length_mean.y","STYLE_IMPUTED.y","OVULES_IMPUTED.y","life_form.y","lifespan.y","IMPUTED_plant_height_mean_m.y","Clusters"
"1616","Opuntia stricta","Opuntia stricta","Bee","1_2_bartomeus_spain_2008_fraop_1_2.csv",37,2.55631512030871,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","medium","quantitative","63","bowl","actinomorphic","100","1","70","70","25","17.5","270","herb","perennial","0.26","Hermaphrodite","self_compatible","medium",1.65592034548125,"Open","actinomorphic",-0.222075194578218,-0.165128333370501,0.632032325537801,2.65761360831894,0.81827854679054,1.2053925058161,0.039833671440541,"herb","Perennial",-0.497720917578,1
"1617","Opuntia stricta","Opuntia stricta","Non-bee-Hymenoptera","1_2_bartomeus_spain_2008_fraop_1_2.csv",8,-0.0808320986658881,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","medium","quantitative","63","bowl","actinomorphic","100","1","70","70","25","17.5","270","herb","perennial","0.26","Hermaphrodite","self_compatible","medium",1.65592034548125,"Open","actinomorphic",-0.222075194578218,-0.165128333370501,0.632032325537801,2.65761360831894,0.81827854679054,1.2053925058161,0.039833671440541,"herb","Perennial",-0.497720917578,1
"1618","Opuntia stricta","Opuntia stricta","Non-syrphids-diptera","1_6_bartomeus_spain_2008_selop_1_2.csv",1,-0.452631300715177,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","medium","quantitative","63","bowl","actinomorphic","100","1","70","70","25","17.5","270","herb","perennial","0.26","Hermaphrodite","self_compatible","medium",1.65592034548125,"Open","actinomorphic",-0.222075194578218,-0.165128333370501,0.632032325537801,2.65761360831894,0.81827854679054,1.2053925058161,0.039833671440541,"herb","Perennial",-0.497720917578,1
"1619","Opuntia stricta","Opuntia stricta","Non-syrphids-diptera","1_5_bartomeus_spain_2008_miqop_1_2.csv",1,-0.644980619863884,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","medium","quantitative","63","bowl","actinomorphic","100","1","70","70","25","17.5","270","herb","perennial","0.26","Hermaphrodite","self_compatible","medium",1.65592034548125,"Open","actinomorphic",-0.222075194578218,-0.165128333370501,0.632032325537801,2.65761360831894,0.81827854679054,1.2053925058161,0.039833671440541,"herb","Perennial",-0.497720917578,1
"1620","Opuntia stricta","Opuntia stricta","Coleoptera","1_2_bartomeus_spain_2008_fraop_1_2.csv",4,-0.444576542662384,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","medium","quantitative","63","bowl","actinomorphic","100","1","70","70","25","17.5","270","herb","perennial","0.26","Hermaphrodite","self_compatible","medium",1.65592034548125,"Open","actinomorphic",-0.222075194578218,-0.165128333370501,0.632032325537801,2.65761360831894,0.81827854679054,1.2053925058161,0.039833671440541,"herb","Perennial",-0.497720917578,1
"1621","Opuntia stricta","Opuntia stricta","Coleoptera","1_5_bartomeus_spain_2008_miqop_1_2.csv",23,1.71994831963702,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","medium","quantitative","63","bowl","actinomorphic","100","1","70","70","25","17.5","270","herb","perennial","0.26","Hermaphrodite","self_compatible","medium",1.65592034548125,"Open","actinomorphic",-0.222075194578218,-0.165128333370501,0.632032325537801,2.65761360831894,0.81827854679054,1.2053925058161,0.039833671440541,"herb","Perennial",-0.497720917578,1
"1622","Opuntia stricta","Opuntia stricta","Bee","1_5_bartomeus_spain_2008_miqop_1_2.csv",33,2.79491601941016,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","medium","quantitative","63","bowl","actinomorphic","100","1","70","70","25","17.5","270","herb","perennial","0.26","Hermaphrodite","self_compatible","medium",1.65592034548125,"Open","actinomorphic",-0.222075194578218,-0.165128333370501,0.632032325537801,2.65761360831894,0.81827854679054,1.2053925058161,0.039833671440541,"herb","Perennial",-0.497720917578,1
"1623","Opuntia stricta","Opuntia stricta","Bee","1_6_bartomeus_spain_2008_selop_1_2.csv",14,0.946073620347296,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","medium","quantitative","63","bowl","actinomorphic","100","1","70","70","25","17.5","270","herb","perennial","0.26","Hermaphrodite","self_compatible","medium",1.65592034548125,"Open","actinomorphic",-0.222075194578218,-0.165128333370501,0.632032325537801,2.65761360831894,0.81827854679054,1.2053925058161,0.039833671440541,"herb","Perennial",-0.497720917578,1
"1624","Opuntia stricta","Opuntia stricta","Coleoptera","1_6_bartomeus_spain_2008_selop_1_2.csv",8,0.300517502933847,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","medium","quantitative","63","bowl","actinomorphic","100","1","70","70","25","17.5","270","herb","perennial","0.26","Hermaphrodite","self_compatible","medium",1.65592034548125,"Open","actinomorphic",-0.222075194578218,-0.165128333370501,0.632032325537801,2.65761360831894,0.81827854679054,1.2053925058161,0.039833671440541,"herb","Perennial",-0.497720917578,1
"1625","Opuntia sulphurea","Opuntia sulphurea","Bee","15_4_peralta_2006_mendoza_site_4.csv",9,-0.217176271447455,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","NA","NA","NA","bowl","actinomorphic","50","1","52.5","52.5","32.5","45","270","shrub","perennial","0.18","Hermaphrodite","self_compatible","low",-0.254510374740837,"Open","actinomorphic",-0.227787452164874,-0.165128333370501,0.241833465309479,1.80343899472518,1.25328004697777,4.22777334780025,0.039833671440541,"shrub","Perennial",-0.520330075604353,2
