"","position","Node_FG","mean","SE","Broad_categories","s"
"1",3,"1",0.638857604326931,0.0570118267553333,"Fan",1
"2",3,"2",0.681744774932652,0.105624633958929,"Fan",1
"3",3,"3",0.726073189536814,0.105014885888575,"Fan",1
"4",3,"5",0.54050291495903,0.109925951367357,"Fan",1
"5",5,"1",0.287979958883261,0.0519584236733065,"Fan",0
"6",5,"2",0.308869314256468,0.101959987266378,"Fan",0
"7",5,"3",0.262289090011278,0.101348002046739,"Fan",0
"8",5,"5",0.379165291028161,0.106363535978506,"Fan",0
"9",7,"1",0.296957214436718,0.0457254457426484,"Fan",0
"10",7,"2",0.348864734383954,0.102125412903635,"Fan",0
"11",7,"3",0.328317509402539,0.101490483077599,"Fan",0
"12",7,"5",0.38955573962013,0.10663967441968,"Fan",0
"13",9,"1",0.357023535485234,0.0468983845412611,"Weak",1
"14",9,"2",0.282070356574735,0.0923838939097466,"Weak",1
"15",9,"3",0.353152300321649,0.0918280805435852,"Weak",1
"16",9,"5",0.23294290076084,0.0963875851627166,"Weak",1
"17",10,"1",0.182050422679504,0.0467435356763036,"Weak",0
"18",10,"2",0.22615626423434,0.0946480448154311,"Weak",0
"19",10,"3",0.202842530600734,0.0940694350915406,"Weak",0
"20",10,"5",0.241288909524535,0.0988430391290098,"Weak",0
"21",13,"1",0.561690147989972,0.0746363028976534,"Strong",0
"22",13,"2",0.676075310225342,0.140490068685328,"Strong",0
"23",13,"3",0.712588647379329,0.139669677439674,"Strong",0
"24",13,"5",0.625104170365093,0.146312232352227,"Strong",0
"25",15,"1",0.739501779737942,0.0667001515095225,"Fan",1
"26",15,"2",0.753250849168975,0.11495044078415,"Fan",1
"27",15,"3",0.871738308293391,0.114326319707399,"Fan",1
"28",15,"5",0.750388320430117,0.119223859305685,"Fan",1
"29",17,"1",0.293436894934192,0.047951825819472,"Fan",0
"30",17,"2",0.382735924173631,0.108948370409489,"Fan",0
"31",17,"3",0.359261531735709,0.108285631841957,"Fan",0
"32",17,"5",0.433078995483922,0.113447346264733,"Fan",0
"33",19,"1",0.433941067089738,0.0546602899339267,"Weak",1
"34",19,"2",0.372653689017817,0.102907492449498,"Weak",1
"35",19,"3",0.389700246482628,0.102306486932978,"Weak",1
"36",19,"5",0.280467066802792,0.107173004373847,"Weak",1
"37",20,"1",0.226403614552774,0.0408811537594285,"Weak",0
"38",20,"2",0.257389998407456,0.0894431343828828,"Weak",0
"39",20,"3",0.264090325424305,0.0888817313959873,"Weak",0
"40",20,"5",0.316466709812572,0.0935007168328045,"Weak",0
"41",23,"1",0.107832909273446,0.0373390030946575,"Weak",0.5
"42",23,"2",0.137826435759776,0.0774506332845019,"Weak",0.5
"43",23,"3",0.0925326211762974,0.0769712488784945,"Weak",0.5
"44",23,"5",0.112641532964384,0.0809378078676113,"Weak",0.5
"45",26,"1",0.496299514114255,0.0686449839900769,"Medium-weak",0.5
"46",26,"2",0.563676328990704,0.134170603918235,"Medium-weak",0.5
"47",26,"3",0.644027281091778,0.133367269751513,"Medium-weak",0.5
"48",26,"5",0.494561054381002,0.139944301566627,"Medium-weak",0.5
"49",27,"1",0.372388193605062,0.0642544967583934,"Medium-weak",0
"50",27,"2",0.482059198760633,0.131253032404116,"Medium-weak",0
"51",27,"3",0.467132501258071,0.130446845312303,"Medium-weak",0
"52",27,"5",0.551551205303584,0.137106802595664,"Medium-weak",0
"53",30,"1",0.451447422973356,0.0784409240613812,"Strong",0
"54",30,"2",0.594546190246151,0.145406450546501,"Strong",0
"55",30,"3",0.593309474742806,0.144566705252583,"Strong",0
"56",30,"5",0.538017805138543,0.1513315006731,"Strong",0
"57",32,"1",0.601479615542311,0.068427167852248,"Weak",1
"58",32,"2",0.607516577745488,0.121132938379705,"Weak",1
"59",32,"3",0.732379089048759,0.120458834389504,"Weak",1
"60",32,"5",0.538668024141794,0.125801074022142,"Weak",1
"61",33,"1",0.433474352238799,0.0709272449181501,"Weak",0
"62",33,"2",0.594654088475051,0.13667029632507,"Weak",0
"63",33,"3",0.579911176844351,0.135859421376148,"Weak",0
"64",33,"5",0.67291111950055,0.142472228583983,"Weak",0
"65",36,"1",0.25640645456903,0.0485917072527596,"Weak",1
"66",36,"2",0.133482650519548,0.0980440189078801,"Weak",1
"67",36,"3",0.146293643039776,0.0974458178587513,"Weak",1
"68",36,"5",0.170808141513062,0.102378067122014,"Weak",1
"69",37,"1",0.150442084189468,0.0420694087925258,"Weak",0
"70",37,"2",0.187861468673938,0.0892073385770125,"Weak",0
"71",37,"3",0.145716059264194,0.0886501081464138,"Weak",0
"72",37,"5",0.107491960284474,0.0932622696926291,"Weak",0
"73",39,"1",0.652811117511391,0.0764647997937067,"Medium-weak",1
"74",39,"2",0.624382289197129,0.138218300618691,"Medium-weak",1
"75",39,"3",0.728729604721956,0.1374354902658,"Medium-weak",1
"76",39,"5",0.596676638731881,0.143686358878017,"Medium-weak",1
"77",40,"1",0.53770044358001,0.078553398474488,"Medium-weak",0
"78",40,"2",0.605427087388066,0.151521510117957,"Medium-weak",0
"79",40,"3",0.691049152226331,0.150621915443397,"Medium-weak",0
"80",40,"5",0.630040654630333,0.157960422358666,"Medium-weak",0
"81",43,"1",0.64627403288084,0.0886849355288046,"Strong",0
"82",43,"2",0.727734095015838,0.155292954495229,"Strong",0
"83",43,"3",0.787077861045129,0.15443710319013,"Strong",0
"84",43,"5",0.647257956855143,0.161192603438623,"Strong",0
"85",45,"1",0.749963083756494,0.0740009044600341,"Fan",1
"86",45,"2",0.764216195112658,0.131476355281965,"Fan",1
"87",45,"3",0.86218590037202,0.130742381714343,"Fan",1
"88",45,"5",0.789243995691862,0.136566809773942,"Fan",1
"89",3,"4",0.71096552973235,0.10855579193265,"Fan",1
"90",5,"4",0.257728346928675,0.105007320783121,"Fan",0
"91",7,"4",0.282686996709408,0.105700502330858,"Fan",0
"92",9,"4",0.384376292837243,0.0951581701166721,"Weak",1
"93",10,"4",0.24505943372846,0.0975874499405957,"Weak",0
"94",13,"4",0.620049725378823,0.144471874087349,"Strong",0
"95",15,"4",0.836098700225114,0.117826454138669,"Fan",1
"96",17,"4",0.26111410813995,0.11281402174802,"Fan",0
"97",19,"4",0.44771275689819,0.105824824120276,"Weak",1
"98",20,"4",0.263736118220766,0.0924951187175692,"Weak",0
"99",23,"4",0.157142756933195,0.0799266871667224,"Weak",0.5
"100",26,"4",0.553140996757217,0.138160851302602,"Medium-weak",0.5
"101",27,"4",0.423533637923746,0.135372637358957,"Medium-weak",0
"102",30,"4",0.476838822435886,0.14944458990316,"Strong",0
"103",32,"4",0.693099703776588,0.124287297969545,"Weak",1
"104",33,"4",0.540954375060034,0.140662648073718,"Weak",0
"105",36,"4",0.25122425093665,0.10107593526198,"Weak",1
"106",37,"4",0.122075465450043,0.0921358919003262,"Weak",0
"107",39,"4",0.707035783132927,0.141926464096148,"Medium-weak",1
"108",40,"4",0.597198629820338,0.155953490855592,"Medium-weak",0
"109",43,"4",0.623701154924711,0.159272665691904,"Strong",0
"110",45,"4",0.801397270661164,0.134918125326829,"Fan",1
