motif,motif_functional_ID,counts_observed,motif_observed_probability
8,8_2_Bee_Bee_Bee_Bee,50871,0.021446766100357256
8,8_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,38545,0.016250232929139793
9,9_2_2_Bee_Bee_Bee,28000,0.011804553690904508
8,8_4_Bee_Bee_Non-syrphids-diptera_Non-syrphids-diptera,22961,0.009680155617744943
9,9_3_2_Bee_Bee_Bee,22161,0.00934288265514767
8,8_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,22103,0.009318430365359369
8,8_4_Bee_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera,21090,0.008891358476470573
8,8_2_Bee_Non-syrphids-diptera_Syrphids_Syrphids,15987,0.006739978566303227
8,8_2_Bee_Lepidoptera_Non-syrphids-diptera_Syrphids,15145,0.006384998773169599
8,8_4_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,14942,0.006299415758910541
8,8_2_Lepidoptera_Non-syrphids-diptera_Syrphids_Syrphids,14543,0.006131200868815152
11,11_2_2_Bee_Bee_Bee,13997,0.0059010120718425135
8,8_4_Bee_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,13859,0.0058428324857944846
8,8_4_Bee_Bee_Bee_Bee,13830,0.0058306063409003335
8,8_2_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,13430,0.005661969859601697
8,8_3_Bee_Bee_Non-syrphids-diptera_Syrphids,12472,0.005258085486891465
8,8_4_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,12451,0.005249232071623287
8,8_2_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids_Syrphids,11332,0.004777471515190352
8,8_2_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,11221,0.0047306748916299815
8,8_3_Bee_Non-syrphids-diptera_Syrphids_Syrphids,11184,0.004715076017109857
8,8_4_Bee_Bee_Lepidoptera_Non-syrphids-diptera,10582,0.004461278112755411
10,10_2_2_Bee_Bee_Bee,10535,0.0044414633262028205
8,8_3_Bee_Bee_Syrphids_Syrphids,10163,0.00428463139859509
8,8_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,9721,0.004098288086760097
8,8_2_Non-syrphids-diptera_Syrphids_Syrphids_Syrphids,9596,0.004045589186354274
13,13_2_4_4_Non-syrphids-diptera_Bee,9531,0.004018185758143245
9,9_5_2_Bee_Bee_Bee,9481,0.003997106197980916
8,8_2_Bee_Lepidoptera_Syrphids_Syrphids,9218,0.0038862277115270624
9,9_2_4_Bee_Bee_Bee,8985,0.003787996961170607
4,4_2_Bee_Bee_Bee,8933,0.003766074218601784
9,9_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,8885,0.003745837840845948
8,8_3_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,8640,0.0036425479960505336
10,10_2_3_Bee_Bee_Bee,8530,0.003596172963693409
13,13_2_3_2_Bee_Bee,8434,0.0035557002081817364
8,8_2_Bee_Bee_Non-syrphids-diptera_Syrphids,8358,0.0035236592767349953
10,10_2_5_Bee_Bee_Bee,8286,0.003493304710101241
8,8_3_Bee_Bee_Bee_Syrphids,7962,0.0033567091602493457
13,13_2_2_4_Non-syrphids-diptera_Bee,7583,0.0031969260942188884
8,8_3_Bee_Bee_Non-bee-Hymenoptera_Syrphids,7460,0.003145070376219558
9,9_3_4_Bee_Bee_Bee,7432,0.0031332658225286534
8,8_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,7175,0.00302491688329428
8,8_3_Bee_Bee_Bee_Bee,6960,0.002934274774596263
8,8_3_Bee_Non-bee-Hymenoptera_Syrphids_Syrphids,6869,0.0028959099751008233
8,8_2_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,6605,0.002784609897443724
4,4_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera,6550,0.0027614223812651613
8,8_4_Bee_Bee_Bee_Non-syrphids-diptera,6527,0.00275172578359049
8,8_2_Bee_Syrphids_Syrphids_Syrphids,6526,0.0027513041923872433
13,13_2_4_2_Non-syrphids-diptera_Bee,6417,0.002705350751233365
9,9_4_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,6361,0.002681741643851556
8,8_3_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,6323,0.0026657211781281856
8,8_2_Lepidoptera_Lepidoptera_Non-syrphids-diptera_Syrphids,6251,0.002635366611494431
8,8_2_Bee_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera,6250,0.0026349450202911846
11,11_2_4_Bee_Bee_Bee,6150,0.0025927858999665256
8,8_2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,6090,0.0025674904277717303
8,8_2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,5937,0.002502986973675002
10,10_2_4_Bee_Bee_Bee,5810,0.002449444890862685
13,13_2_2_2_Bee_Bee,5725,0.0024136096385867253
8,8_3_Bee_Syrphids_Syrphids_Syrphids,5713,0.002408550544147766
8,8_2_Lepidoptera_Syrphids_Syrphids_Syrphids,5634,0.0023752448390912855
8,8_5_Bee_Bee_Bee_Bee,5622,0.0023701857446523263
17,17_2_2_4_4_Bee,5613,0.002366391423823107
8,8_4_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera,5568,0.0023474198196770106
11,11_3_2_Bee_Bee_Bee,5417,0.0022837595479867755
8,8_2_Bee_Bee_Non-syrphids-diptera_Non-syrphids-diptera,5235,0.0022070299489958963
8,8_3_Bee_Lepidoptera_Non-syrphids-diptera_Syrphids,5196,0.002190587892069279
9,9_2_4_Coleoptera_Non-syrphids-diptera_Bee,5176,0.0021821560680043476
4,4_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,5129,0.0021623412814517576
8,8_2_Bee_Bee_Syrphids_Syrphids,5089,0.0021454776333218943
8,8_4_Bee_Bee_Coleoptera_Non-syrphids-diptera,5044,0.0021265060291757974
17,17_2_2_2_4_Bee,5040,0.0021248196643628113
8,8_3_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,4981,0.0020999457833712626
9,9_2_2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,4974,0.0020969946449485364
5,5_2_2_Bee_Bee,4762,0.0020076173098602596
9,9_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,4749,0.002002136624218054
8,8_3_Bee_Bee_Bee_Non-syrphids-diptera,4672,0.0019696741015680663
17,17_2_2_3_4_Bee,4663,0.001965879780738847
8,8_4_Bee_Lepidoptera_Lepidoptera_Non-syrphids-diptera,4652,0.0019612422775031344
8,8_3_Bee_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,4640,0.0019561831830641756
8,8_4_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,4533,0.0019110729243167904
8,8_3_Bee_Bee_Lepidoptera_Syrphids,4466,0.0018828263136992688
8,8_2_Bee_Coleoptera_Non-syrphids-diptera_Syrphids,4399,0.0018545797030817474
8,8_2_Bee_Bee_Lepidoptera_Syrphids,4287,0.0018073614883181294
9,9_4_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,4198,0.0017698398712291828
8,8_3_Bee_Lepidoptera_Syrphids_Syrphids,4181,0.001762672820773991
9,9_2_5_Bee_Bee_Bee,4166,0.001756348952725292
13,13_2_2_2_Non-syrphids-diptera_Bee,4142,0.001746230763847374
9,9_3_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,4133,0.0017424364430181545
9,9_2_3_Bee_Bee_Bee,4012,0.0016914239074253172
11,11_5_2_Bee_Bee_Bee,4007,0.0016893159514090844
9,9_2_3_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,3995,0.0016842568569701251
8,8_4_Lepidoptera_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera,3958,0.0016686579824500014
8,8_4_Bee_Bee_Non-syrphids-diptera_Syrphids,3899,0.0016437841014584527
11,11_4_2_Bee_Bee_Bee,3859,0.001626920453328589
8,8_2_Bee_Lepidoptera_Lepidoptera_Syrphids,3858,0.0016264988621253423
8,8_4_Bee_Coleoptera_Lepidoptera_Non-syrphids-diptera,3840,0.0016189102204669037
