"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Clusters"
"Lycopersicon cheesmanii","Hermaphrodite","self_compatible","low",-0.188931987195295,"Open","actinomorphic",-0.231214806716868,-0.131227343468773,0.855003102811128,0.319615665968019,-0.515726053783617,-0.113464588867889,-0.0996783866592618,"herb","Perennial",-0.288586205834236,2
"Lycopus americanus","Hermaphrodite","self_compatible","high",2.5957542496546,"Tube","actinomorphic",-0.226645000647543,-0.143334839862248,-0.594306949465497,-0.661464890216813,-0.486725953771135,-0.223369346758221,-0.125100583913004,"herb","Perennial",0.036420440794588,1
"Lysimachea europaea","Hermaphrodite","self_compatible","low",-0.209324771772019,"Open","actinomorphic",-0.232928483992865,-0.165128333370501,-0.636671397147429,-0.119674135308771,-0.567926233806084,-0.168416967813055,-0.115799780039683,"herb","Perennial",-0.537286944124118,2
"Lysimachia ciliata","Hermaphrodite","self_compatible","low",-0.186218955237917,"Open","actinomorphic",-0.231786032475534,-0.162706834091806,0.743517714174465,0.461164601934985,-0.33592543370623,-0.168416967813055,-0.108979190532582,"herb","Perennial",-0.458154891031883,2
"Lysimachia lanceolatum","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Open","actinomorphic",-0.230072355199537,-0.162706834091806,-0.502888930783433,0.173185732209089,1.17323977094332,-0.168416967813055,-0.108979190532582,"herb","Perennial",-0.415762719732471,3
"Lysimachia mauritiana","Hermaphrodite","self_compatible","low",0.0305868567848371,"Campanulate","actinomorphic",-0.222075194578218,-0.155442336255722,-0.0368800062821798,-0.266104069067702,-0.39972565373369,-0.168416967813055,-0.108979190532582,"herb","Short lived",-0.486416338564824,5
"Lysimachia vulgaris","Hermaphrodite","partially_self_compatible","low",-0.223747462865463,"Open","actinomorphic",-0.230072355199537,-0.155442336255722,0.632032325537801,0.0950897675376597,-0.0807245535963917,-0.223369346758221,-0.108979190532582,"herb","Perennial",-0.316847653367177,2
"Lythrum alatum","Hermaphrodite","partially_self_compatible","low",-0.251406774665285,"Tube","zygomorphic",-0.231214806716868,-0.119119847075299,0.186090770991147,-0.246580077899844,-0.179324893638829,-0.651997902530518,-0.077976510954848,"herb","Perennial",-0.429893443498942,5
"Lythrum salicaria","Hermaphrodite","partially_self_compatible","low",-0.223747462865463,"Tube","actinomorphic",-0.224931323371546,0.0140626132529162,0.0746053823544836,-0.0269351772614488,-0.138724753621355,0.0513925479676102,-0.0612350639828717,"herb","Perennial",-0.217932587001883,2
"Maackia tashiroi","Hermaphrodite","self_compatible","low",-0.24058928642825,"Tube","zygomorphic",-0.0964055276717741,0.0382776060398645,-0.37133617219217,-0.563844934377526,-0.254725153671282,-0.536597906745669,-0.126340691096113,"shrub","Perennial",-0.0135151818754923,5
