"","Species_all","Plant_species","guild","Id","Interaction","Z_scores","Order_all","Family_all","Genus_all","Breeding_system.x","IMPUTED_Compatibility.x","Autonomous_selfing_level.x","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set.x","Flower_morphology.x","Flower_symmetry.x","Flowers_per_plant.x","Flowers_per_inflorescence.x","Floral_unit_width.x","Corolla_diameter_mean.x","Corolla_length_mean.x","STYLE_IMPUTED.x","OVULES_IMPUTED.x","life_form.x","lifespan.x","IMPUTED_plant_height_mean_m.x","Breeding_system.y","IMPUTED_Compatibility.y","Autonomous_selfing_level.y","Autonomous_selfing_level_fruit_set.y","Flower_morphology.y","Flower_symmetry.y","Flowers_per_plant.y","Flowers_per_inflorescence.y","Floral_unit_width.y","Corolla_diameter_mean.y","Corolla_length_mean.y","STYLE_IMPUTED.y","OVULES_IMPUTED.y","life_form.y","lifespan.y","IMPUTED_plant_height_mean_m.y","Clusters"
"1","Acantholippia seriphioides","Acantholippia seriphioides","Non-syrphids-diptera","15_2_peralta_2006_mendoza_site_2.csv",2,-0.597795251024593,"Lamiales","Verbenaceae","Acantholippia","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","10000","50","24","6","3","3","2","shrub","perennial","0.45","Hermaphrodite","self_incompatible","none",-0.844229699342505,"Tube","actinomorphic",0.915351482981664,-0.0462101800201317,-0.392032815959649,-0.471413304662909,-0.467922456376089,-0.399784491886785,-0.128219987568673,"shrub","Perennial",-0.396102042899081,3
"2","Acantholippia seriphioides","Acantholippia seriphioides","Lepidoptera","15_2_peralta_2006_mendoza_site_2.csv",1,-0.625578838403547,"Lamiales","Verbenaceae","Acantholippia","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","10000","50","24","6","3","3","2","shrub","perennial","0.45","Hermaphrodite","self_incompatible","none",-0.844229699342505,"Tube","actinomorphic",0.915351482981664,-0.0462101800201317,-0.392032815959649,-0.471413304662909,-0.467922456376089,-0.399784491886785,-0.128219987568673,"shrub","Perennial",-0.396102042899081,3
"3","Acantholippia seriphioides","Acantholippia seriphioides","Syrphids","15_2_peralta_2006_mendoza_site_2.csv",19,-0.125474265582373,"Lamiales","Verbenaceae","Acantholippia","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","10000","50","24","6","3","3","2","shrub","perennial","0.45","Hermaphrodite","self_incompatible","none",-0.844229699342505,"Tube","actinomorphic",0.915351482981664,-0.0462101800201317,-0.392032815959649,-0.471413304662909,-0.467922456376089,-0.399784491886785,-0.128219987568673,"shrub","Perennial",-0.396102042899081,3
"4","Achillea millefolium","Achillea millefolium","Lepidoptera","17_1_arroyo_correa_new_zealand_2019_1.csv",8,-0.0628258603102451,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.844229699342505,"Capitulum","actinomorphic",-0.211212022858246,-0.106725206451757,-0.146620526808462,-0.661333984470315,-0.50312694044596,-0.455098788277695,-0.120166398566761,"herb","Perennial",-0.396102042899081,4
"5","Achillea millefolium","Achillea millefolium","Bee","17_1_arroyo_correa_new_zealand_2019_1.csv",14,0.307397959375128,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.844229699342505,"Capitulum","actinomorphic",-0.211212022858246,-0.106725206451757,-0.146620526808462,-0.661333984470315,-0.50312694044596,-0.455098788277695,-0.120166398566761,"herb","Perennial",-0.396102042899081,4
"6","Achillea millefolium","Achillea millefolium","Coleoptera","17_3_arroyo_correa_new_zealand_2019_3.csv",3,-0.34497436195172,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.844229699342505,"Capitulum","actinomorphic",-0.211212022858246,-0.106725206451757,-0.146620526808462,-0.661333984470315,-0.50312694044596,-0.455098788277695,-0.120166398566761,"herb","Perennial",-0.396102042899081,4
"7","Achillea millefolium","Achillea millefolium","Non-syrphids-diptera","6_1_inouye_1988_australia.csv",1,-0.546735883787886,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.844229699342505,"Capitulum","actinomorphic",-0.211212022858246,-0.106725206451757,-0.146620526808462,-0.661333984470315,-0.50312694044596,-0.455098788277695,-0.120166398566761,"herb","Perennial",-0.396102042899081,4
"8","Achillea millefolium","Achillea millefolium","Non-syrphids-diptera","17_1_arroyo_correa_new_zealand_2019_1.csv",13,0.245693989427566,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.844229699342505,"Capitulum","actinomorphic",-0.211212022858246,-0.106725206451757,-0.146620526808462,-0.661333984470315,-0.50312694044596,-0.455098788277695,-0.120166398566761,"herb","Perennial",-0.396102042899081,4
"9","Achillea millefolium","Achillea millefolium","Syrphids","2_1_dicks_2002_england_shelfanger.csv",4,-0.313805943209871,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.844229699342505,"Capitulum","actinomorphic",-0.211212022858246,-0.106725206451757,-0.146620526808462,-0.661333984470315,-0.50312694044596,-0.455098788277695,-0.120166398566761,"herb","Perennial",-0.396102042899081,4
"10","Achillea millefolium","Achillea millefolium","Bee","6_1_inouye_1988_australia.csv",15,-0.00401028765614588,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.844229699342505,"Capitulum","actinomorphic",-0.211212022858246,-0.106725206451757,-0.146620526808462,-0.661333984470315,-0.50312694044596,-0.455098788277695,-0.120166398566761,"herb","Perennial",-0.396102042899081,4
