Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,3,Cistus crispus,Lasioglossum albocinctum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,4,Cistus crispus,Dasypoda cingulata
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,4,Cistus crispus,Lasioglossum albocinctum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,5,Cistus crispus,Dasypoda cingulata
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,5,Cistus crispus,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,6,Cistus crispus,Lasioglossum albocinctum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,6,Cistus crispus,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,7,Cistus salviifolius,Eucera codinai
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,7,Cistus salviifolius,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,8,Erophaca baetica,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,8,Erophaca baetica,Anthophora aestivalis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,9,Erophaca baetica,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,9,Erophaca baetica,Anthophora hispanica
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,10,Erophaca baetica,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,10,Erophaca baetica,Macroglossum stellatarum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,11,Erophaca baetica,Macroglossum stellatarum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,11,Erophaca baetica,Anthophora hispanica
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,12,Erophaca baetica,Anthophora aestivalis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,12,Erophaca baetica,Anthophora hispanica
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,13,Erophaca baetica,Anthophora aestivalis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,13,Erophaca baetica,Macroglossum stellatarum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,14,Lavandula stoechas,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,14,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,15,Lavandula stoechas,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,15,Lavandula stoechas,Bombus terrestris
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,16,Lavandula stoechas,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,16,Lavandula stoechas,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,17,Lavandula stoechas,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,17,Lavandula stoechas,Platynochaetus setosus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,18,Lavandula stoechas,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,18,Lavandula stoechas,Merodon sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,19,Lavandula stoechas,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,19,Lavandula stoechas,Eucera chrysopyga
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,20,Lavandula stoechas,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,20,Lavandula stoechas,Xylocopa cantabrita
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,21,Lavandula stoechas,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,21,Lavandula stoechas,Lasioglossum sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,22,Lavandula stoechas,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,22,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,23,Lavandula stoechas,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,23,Lavandula stoechas,Andrena rhyssonota
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,24,Lavandula stoechas,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,24,Lavandula stoechas,Andrena rhyssonota
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,25,Lavandula stoechas,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,25,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,26,Lavandula stoechas,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,26,Lavandula stoechas,Bombus terrestris
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,27,Lavandula stoechas,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,27,Lavandula stoechas,Platynochaetus setosus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,28,Lavandula stoechas,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,28,Lavandula stoechas,Merodon sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,29,Lavandula stoechas,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,29,Lavandula stoechas,Eucera chrysopyga
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,30,Lavandula stoechas,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,30,Lavandula stoechas,Xylocopa cantabrita
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,31,Lavandula stoechas,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,31,Lavandula stoechas,Lasioglossum sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,32,Lavandula stoechas,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,32,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,33,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,33,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,34,Lavandula stoechas,Andrena rhyssonota
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,34,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,35,Lavandula stoechas,Bombus terrestris
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,35,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,36,Lavandula stoechas,Platynochaetus setosus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,36,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,37,Lavandula stoechas,Merodon sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,37,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,38,Lavandula stoechas,Eucera chrysopyga
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,38,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,39,Lavandula stoechas,Xylocopa cantabrita
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,39,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,40,Lavandula stoechas,Lasioglossum sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,40,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,41,Lavandula stoechas,Lasioglossum sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,41,Lavandula stoechas,Bombus terrestris
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,42,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,42,Lavandula stoechas,Bombus terrestris
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,43,Lavandula stoechas,Andrena rhyssonota
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,43,Lavandula stoechas,Bombus terrestris
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,44,Lavandula stoechas,Platynochaetus setosus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,44,Lavandula stoechas,Bombus terrestris
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,45,Lavandula stoechas,Merodon sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,45,Lavandula stoechas,Bombus terrestris
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,46,Lavandula stoechas,Eucera chrysopyga
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,46,Lavandula stoechas,Bombus terrestris
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,47,Lavandula stoechas,Xylocopa cantabrita
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,47,Lavandula stoechas,Bombus terrestris
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,48,Lavandula stoechas,Xylocopa cantabrita
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,48,Lavandula stoechas,Platynochaetus setosus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,49,Lavandula stoechas,Lasioglossum sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,49,Lavandula stoechas,Platynochaetus setosus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,50,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,50,Lavandula stoechas,Platynochaetus setosus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,51,Lavandula stoechas,Andrena rhyssonota
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,51,Lavandula stoechas,Platynochaetus setosus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,52,Lavandula stoechas,Merodon sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,52,Lavandula stoechas,Platynochaetus setosus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,53,Lavandula stoechas,Eucera chrysopyga
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,53,Lavandula stoechas,Platynochaetus setosus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,54,Lavandula stoechas,Eucera chrysopyga
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,54,Lavandula stoechas,Xylocopa cantabrita
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,55,Lavandula stoechas,Eucera chrysopyga
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,55,Lavandula stoechas,Lasioglossum sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,56,Lavandula stoechas,Eucera chrysopyga
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,56,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,57,Lavandula stoechas,Eucera chrysopyga
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,57,Lavandula stoechas,Andrena rhyssonota
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,58,Lavandula stoechas,Eucera chrysopyga
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,58,Lavandula stoechas,Merodon sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,59,Lavandula stoechas,Merodon sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,59,Lavandula stoechas,Xylocopa cantabrita
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,60,Lavandula stoechas,Lasioglossum sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,60,Lavandula stoechas,Xylocopa cantabrita
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,61,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,61,Lavandula stoechas,Xylocopa cantabrita
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,62,Lavandula stoechas,Andrena rhyssonota
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,62,Lavandula stoechas,Xylocopa cantabrita
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,63,Lavandula stoechas,Lasioglossum sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,63,Lavandula stoechas,Merodon sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,64,Lavandula stoechas,Lasioglossum sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,64,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,65,Lavandula stoechas,Lasioglossum sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,65,Lavandula stoechas,Andrena rhyssonota
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,66,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,66,Lavandula stoechas,Merodon sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,67,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,67,Lavandula stoechas,Andrena rhyssonota
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,68,Lavandula stoechas,Andrena rhyssonota
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,68,Lavandula stoechas,Merodon sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,69,Rosmarinus officinalis,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,69,Rosmarinus officinalis,Nomada agrestis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,70,Thapsia villosa,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,70,Thapsia villosa,Heriades crenulatus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,71,Thapsia villosa,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,71,Thapsia villosa,Lasioglossum malachurum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,72,Thapsia villosa,Lasioglossum malachurum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,3,3,72,Thapsia villosa,Heriades crenulatus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,1,Cistus crispus,Eucera codinai
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,1,Cistus crispus,Dasypoda cingulata
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,1,Cistus crispus,Lasioglossum albocinctum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,2,Cistus crispus,Eucera codinai
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,2,Cistus crispus,Lasioglossum albocinctum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,2,Cistus crispus,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,3,Cistus crispus,Eucera codinai
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,3,Cistus crispus,Dasypoda cingulata
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,3,Cistus crispus,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,4,Cistus crispus,Dasypoda cingulata
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,4,Cistus crispus,Lasioglossum albocinctum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,4,Cistus crispus,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,5,Erophaca baetica,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,5,Erophaca baetica,Anthophora aestivalis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,5,Erophaca baetica,Anthophora hispanica
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,6,Erophaca baetica,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,6,Erophaca baetica,Macroglossum stellatarum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,6,Erophaca baetica,Anthophora hispanica
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,7,Erophaca baetica,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,7,Erophaca baetica,Anthophora aestivalis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,7,Erophaca baetica,Macroglossum stellatarum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,8,Erophaca baetica,Anthophora aestivalis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,8,Erophaca baetica,Macroglossum stellatarum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,8,Erophaca baetica,Anthophora hispanica
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,9,Lavandula stoechas,Lasioglossum sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,9,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,9,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,10,Lavandula stoechas,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,10,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,10,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,11,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,11,Lavandula stoechas,Bombus terrestris
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,11,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,12,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,12,Lavandula stoechas,Platynochaetus setosus
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,12,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,13,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,13,Lavandula stoechas,Xylocopa cantabrita
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,13,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,14,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,14,Lavandula stoechas,Merodon sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,14,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,15,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,15,Lavandula stoechas,Andrena rhyssonota
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,15,Lavandula stoechas,Dasypoda crassicornis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,16,Lavandula stoechas,Eucera chrysopyga
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,4,4,16,Lavandula stoechas,Eucera sp.
