Network_id,Motif_pattern_id,Nodes,Motif_number,Type,Node_id,Degree,Position,Functional_group,Motif_functional_ID
15_2_peralta_2006_mendoza_site_2,1,2,24,Pollinator,Compsomyiops fulvicrura,1,2,Non-syrphids-diptera,3_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,25,Plant,Condalia microphylla,1,1,3,3_Syrphids
15_2_peralta_2006_mendoza_site_2,1,2,25,Pollinator,Platycheirus sp.,1,2,Syrphids,3_Syrphids
15_2_peralta_2006_mendoza_site_2,1,2,26,Plant,Condalia microphylla,1,1,3,3_Non-bee-Hymenoptera
15_2_peralta_2006_mendoza_site_2,1,2,26,Pollinator,Camponotus mus,1,2,Non-bee-Hymenoptera,3_Non-bee-Hymenoptera
15_2_peralta_2006_mendoza_site_2,1,2,27,Plant,Condalia microphylla,1,1,3,3_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,27,Pollinator,Hirmoneura sp.,1,2,Non-syrphids-diptera,3_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,28,Plant,Condalia microphylla,1,1,3,3_Syrphids
15_2_peralta_2006_mendoza_site_2,1,2,28,Pollinator,Syrphus sp.1,1,2,Syrphids,3_Syrphids
15_2_peralta_2006_mendoza_site_2,1,2,29,Plant,Condalia microphylla,1,1,3,3_Non-bee-Hymenoptera
15_2_peralta_2006_mendoza_site_2,1,2,29,Pollinator,Polistes cavapyta,1,2,Non-bee-Hymenoptera,3_Non-bee-Hymenoptera
15_2_peralta_2006_mendoza_site_2,1,2,30,Plant,Prosopis flexuosa,1,1,3,3_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,30,Pollinator,Compsomyiops fulvicrura,1,2,Non-syrphids-diptera,3_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,31,Plant,Larrea divaricata,1,1,2,2_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,31,Pollinator,Compsomyiops fulvicrura,1,2,Non-syrphids-diptera,2_Non-syrphids-diptera
15_2_peralta_2006_mendoza_site_2,1,2,32,Plant,Opuntia sulphurea,1,1,3,3_Non-bee-Hymenoptera
15_2_peralta_2006_mendoza_site_2,1,2,32,Pollinator,Camponotus mus,1,2,Non-bee-Hymenoptera,3_Non-bee-Hymenoptera
15_2_peralta_2006_mendoza_site_2,1,2,33,Plant,Echinopsis candicans,1,1,1,1_Bee
15_2_peralta_2006_mendoza_site_2,1,2,33,Pollinator,Caenohalictus sp.,1,2,Bee,1_Bee
15_2_peralta_2006_mendoza_site_2,1,2,34,Plant,Echinopsis candicans,1,1,1,1_Bee
15_2_peralta_2006_mendoza_site_2,1,2,34,Pollinator,Dialictus sp.,1,2,Bee,1_Bee
15_2_peralta_2006_mendoza_site_2,1,2,35,Plant,Larrea divaricata,1,1,2,2_Bee
15_2_peralta_2006_mendoza_site_2,1,2,35,Pollinator,Augochloropsis sp.,1,2,Bee,2_Bee
15_2_peralta_2006_mendoza_site_2,1,2,36,Plant,Larrea divaricata,1,1,2,2_Bee
15_2_peralta_2006_mendoza_site_2,1,2,36,Pollinator,Megachile obscurior,1,2,Bee,2_Bee
15_2_peralta_2006_mendoza_site_2,1,2,37,Plant,Larrea divaricata,1,1,2,2_Bee
15_2_peralta_2006_mendoza_site_2,1,2,37,Pollinator,Centris brethesi,1,2,Bee,2_Bee
15_2_peralta_2006_mendoza_site_2,1,2,38,Plant,Larrea divaricata,1,1,2,2_Bee
15_2_peralta_2006_mendoza_site_2,1,2,38,Pollinator,Xylocopa atamisquensis,1,2,Bee,2_Bee
15_2_peralta_2006_mendoza_site_2,1,2,39,Plant,Larrea divaricata,1,1,2,2_Bee
15_2_peralta_2006_mendoza_site_2,1,2,39,Pollinator,Megachile leucographa,1,2,Bee,2_Bee
15_2_peralta_2006_mendoza_site_2,1,2,40,Plant,Prosopis flexuosa,1,1,3,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,40,Pollinator,Augochloropsis sp.,1,2,Bee,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,41,Plant,Senna aphylla,1,1,3,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,41,Pollinator,Augochloropsis sp.,1,2,Bee,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,42,Plant,Lycium chilense,1,1,3,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,42,Pollinator,Augochloropsis sp.,1,2,Bee,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,43,Plant,Menodora decemfida,1,1,3,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,43,Pollinator,Augochloropsis sp.,1,2,Bee,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,44,Plant,Opuntia sulphurea,1,1,3,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,44,Pollinator,Megachile obscurior,1,2,Bee,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,45,Plant,Senna aphylla,1,1,3,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,45,Pollinator,Megachile obscurior,1,2,Bee,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,46,Plant,Zuccagnia punctata,1,1,3,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,46,Pollinator,Centris brethesi,1,2,Bee,3_Bee
15_2_peralta_2006_mendoza_site_2,1,2,47,Plant,Prosopis flexuosa,1,1,3,3_Bee
